condition,n_features,model,best_params,val_BalAcc,BalAcc,AUC,Sens_W,F1_macro
prior_cesd only,1,ElasticNet,"{'C': 0.001, 'l1_ratio': 0.1}",0.5052,0.4745,0.6649,0.2263,0.4563
prior_cesd only,1,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.5161,0.4818,0.6467,0.0511,0.4152
prior_cesd only,1,LightGBM,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 20, 'subsample': 0.8, 'colsample_bytree': 0.6, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",0.5159,0.472,0.6423,0.0949,0.425
prior_cesd only,1,SVM,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.5258,0.4988,0.6582,0.1606,0.4636
base (21),21,ElasticNet,"{'C': 0.1, 'l1_ratio': 0.1}",0.5149,0.455,0.6568,0.2336,0.4417
base (21),21,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.5453,0.4623,0.6546,0.2555,0.4516
base (21),21,LightGBM,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 20, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",0.5478,0.4696,0.6585,0.3139,0.4644
base (21),21,SVM,"{'C': 0.5, 'gamma': 0.0001, 'kernel': 'linear'}",0.4999,0.455,0.651,0.2628,0.444
base + behavioral lag (38),38,ElasticNet,"{'C': 5.0, 'l1_ratio': 0.1}",0.5176,0.4647,0.642,0.2555,0.4545
base + behavioral lag (38),38,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.5478,0.4891,0.6585,0.2993,0.4795
base + behavioral lag (38),38,LightGBM,"{'n_estimators': 50, 'max_depth': 7, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 30, 'subsample': 0.6, 'colsample_bytree': 0.8, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",0.5477,0.472,0.6404,0.2847,0.4634
base + behavioral lag (38),38,SVM,"{'C': 5.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.5122,0.472,0.6403,0.3285,0.4681
base + behavioral lag + pmcesd (39),39,ElasticNet,"{'C': 0.5, 'l1_ratio': 0.99}",0.585,0.5304,0.7175,0.4964,0.5306
base + behavioral lag + pmcesd (39),39,XGBoost,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.05, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6102,0.5547,0.7234,0.562,0.5556
base + behavioral lag + pmcesd (39),39,LightGBM,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_alpha': 1.0, 'reg_lambda': 0.1}",0.6025,0.5572,0.7322,0.5547,0.5587
base + behavioral lag + pmcesd (39),39,SVM,"{'C': 0.5, 'gamma': 0.0001, 'kernel': 'linear'}",0.6055,0.5572,0.7212,0.4964,0.5559
