AUC,BalAcc,F1macro,SensW,PPVW,scenario,description,n_feat,n_test,model
0.5,0.333,0.297,0.0,0.0,Population baseline,Predict all stable,0,411,ElasticNet
0.5,0.333,0.297,0.0,0.0,Population baseline,Predict all stable,0,411,XGBoost
0.5,0.333,0.297,0.0,0.0,Population baseline,Predict all stable,0,411,LightGBM
0.5,0.333,0.297,0.0,0.0,Population baseline,Predict all stable,0,411,SVM
0.75,0.674,0.654,0.541,0.408,Revert-to-person-mean,Rule: predict severity moves toward person mean,0,411,ElasticNet
0.75,0.674,0.654,0.541,0.408,Revert-to-person-mean,Rule: predict severity moves toward person mean,0,411,XGBoost
0.75,0.674,0.654,0.541,0.408,Revert-to-person-mean,Rule: predict severity moves toward person mean,0,411,LightGBM
0.75,0.674,0.654,0.541,0.408,Revert-to-person-mean,Rule: predict severity moves toward person mean,0,411,SVM
0.556,0.335,0.335,0.054,0.053,Last-change-only,Rule: repeat last period's severity transition,0,411,ElasticNet
0.556,0.335,0.335,0.054,0.053,Last-change-only,Rule: repeat last period's severity transition,0,411,XGBoost
0.556,0.335,0.335,0.054,0.053,Last-change-only,Rule: repeat last period's severity transition,0,411,LightGBM
0.556,0.335,0.335,0.054,0.053,Last-change-only,Rule: repeat last period's severity transition,0,411,SVM
0.603,0.396,0.301,0.0,0.0,Intake form only,Age + gender (3 feat),3,411,ElasticNet
0.72,0.463,0.401,0.459,0.173,Intake form only,Age + gender (3 feat),3,411,XGBoost
0.719,0.461,0.402,0.432,0.182,Intake form only,Age + gender (3 feat),3,411,LightGBM
0.64,0.375,0.344,0.27,0.083,Intake form only,Age + gender (3 feat),3,411,SVM
0.72,0.455,0.408,0.054,0.2,Onboarding,"39-feat, prior_cesd & pmcesd = intake CES-D",39,411,ElasticNet
0.67,0.458,0.42,0.297,0.159,Onboarding,"39-feat, prior_cesd & pmcesd = intake CES-D",39,411,XGBoost
0.629,0.448,0.412,0.297,0.155,Onboarding,"39-feat, prior_cesd & pmcesd = intake CES-D",39,411,LightGBM
0.733,0.505,0.444,0.243,0.196,Onboarding,"39-feat, prior_cesd & pmcesd = intake CES-D",39,411,SVM
0.692,0.518,0.438,0.486,0.186,Stale 4 weeks,"39-feat, prior_cesd from t-1",39,411,ElasticNet
0.735,0.565,0.491,0.514,0.232,Stale 4 weeks,"39-feat, prior_cesd from t-1",39,411,XGBoost
0.721,0.543,0.469,0.514,0.211,Stale 4 weeks,"39-feat, prior_cesd from t-1",39,411,LightGBM
0.731,0.509,0.44,0.432,0.198,Stale 4 weeks,"39-feat, prior_cesd from t-1",39,411,SVM
0.643,0.459,0.4,0.405,0.155,Stale 8 weeks,"39-feat, prior_cesd from t-2",39,411,ElasticNet
0.702,0.507,0.451,0.432,0.188,Stale 8 weeks,"39-feat, prior_cesd from t-2",39,411,XGBoost
0.683,0.508,0.445,0.459,0.187,Stale 8 weeks,"39-feat, prior_cesd from t-2",39,411,LightGBM
0.694,0.472,0.42,0.351,0.171,Stale 8 weeks,"39-feat, prior_cesd from t-2",39,411,SVM
0.587,0.489,0.371,0.73,0.186,No fresh CES-D,"39-feat, prior_cesd = pop_mean",39,411,ElasticNet
0.666,0.506,0.348,0.892,0.17,No fresh CES-D,"39-feat, prior_cesd = pop_mean",39,411,XGBoost
0.672,0.506,0.348,0.892,0.17,No fresh CES-D,"39-feat, prior_cesd = pop_mean",39,411,LightGBM
0.618,0.441,0.355,0.622,0.163,No fresh CES-D,"39-feat, prior_cesd = pop_mean",39,411,SVM
0.573,0.424,0.294,0.21,0.032,Cold start,"Leave-group-out (5x5 folds), train/val/test split, pmcesd=pop_mean",39,411,ElasticNet
0.821,0.72,0.534,0.569,0.224,Cold start,"Leave-group-out (5x5 folds), train/val/test split, pmcesd=pop_mean",39,411,XGBoost
0.8,0.676,0.469,0.549,0.174,Cold start,"Leave-group-out (5x5 folds), train/val/test split, pmcesd=pop_mean",39,411,LightGBM
0.672,0.501,0.377,0.29,0.072,Cold start,"Leave-group-out (5x5 folds), train/val/test split, pmcesd=pop_mean",39,411,SVM
0.829,0.691,0.547,0.73,0.248,Full model,"All 39 features, known person",39,411,ElasticNet
0.906,0.834,0.686,0.838,0.356,Full model,"All 39 features, known person",39,411,XGBoost
0.901,0.842,0.679,0.865,0.344,Full model,"All 39 features, known person",39,411,LightGBM
0.841,0.696,0.565,0.649,0.304,Full model,"All 39 features, known person",39,411,SVM
