feature,class,coefficient
prior_cesd,improving,2.2728460810993747
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,-0.11035419849772883
mean_daily_overnight_ratio_delta,improving,0.0
mean_daily_social_ratio,improving,0.14221324713031389
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,-0.023602689699396138
mean_daily_screens_delta,improving,0.0
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,-0.0013621760584972397
mean_daily_switches,improving,0.10428015161493566
mean_daily_switches_delta,improving,-0.02071050107432675
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.15271849130046883
mean_daily_social_screens_delta,improving,-0.13945290997135257
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.0
gender_mode_1,improving,0.0
gender_mode_2,improving,0.1631027771898645
lag_active_day_ratio_delta,improving,-0.011011953173266588
lag_mean_daily_overnight_ratio,improving,0.1547693337114948
lag_mean_daily_overnight_ratio_delta,improving,-0.08675151955119607
lag_mean_daily_social_ratio,improving,-0.16046128097694204
lag_mean_daily_social_ratio_delta,improving,0.04773524233569269
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.019077471403252267
lag_mean_daily_unique_apps,improving,0.0
lag_mean_daily_unique_apps_delta,improving,0.0
lag_mean_daily_switches,improving,-0.07003115193323745
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,-0.07677187594734886
lag_mean_daily_social_screens,improving,-0.0658372042746369
lag_mean_daily_social_screens_delta,improving,-0.04190378520289131
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.00025144511695592047
person_mean_cesd,improving,-1.1703535589992278
prior_cesd,stable,0.0
active_day_ratio_delta,stable,-0.042517255884535476
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.025899956703752117
mean_daily_social_ratio,stable,0.0
mean_daily_social_ratio_delta,stable,-0.03817603805005073
age,stable,0.030046671103655814
mean_daily_screens,stable,0.12461487418736342
mean_daily_screens_delta,stable,0.006627784438835122
mean_daily_unique_apps,stable,0.0
mean_daily_unique_apps_delta,stable,0.0
mean_daily_switches,stable,-0.025958390304670734
mean_daily_switches_delta,stable,0.0
switches_per_screen,stable,0.0
switches_per_screen_delta,stable,0.0
mean_daily_social_screens,stable,-0.06337122740689936
mean_daily_social_screens_delta,stable,0.0
clip_dispersion,stable,0.08715237442993502
clip_dispersion_delta,stable,-0.03637348723891929
gender_mode_1,stable,0.0
gender_mode_2,stable,-0.00826872955658899
lag_active_day_ratio_delta,stable,0.0
lag_mean_daily_overnight_ratio,stable,0.0
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.02048207439776219
lag_mean_daily_social_ratio_delta,stable,0.0
lag_mean_daily_screens,stable,-0.040229826677006954
lag_mean_daily_screens_delta,stable,-0.029762654867681128
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,0.052080533863200024
lag_mean_daily_switches,stable,0.0
lag_mean_daily_switches_delta,stable,-0.06032673679698568
lag_switches_per_screen,stable,-0.04226572923954057
lag_switches_per_screen_delta,stable,0.0
lag_mean_daily_social_screens,stable,0.0
lag_mean_daily_social_screens_delta,stable,0.09847191740936001
lag_clip_dispersion,stable,0.0
lag_clip_dispersion_delta,stable,-0.09225802393752665
person_mean_cesd,stable,0.0
prior_cesd,worsening,-1.1944718638270675
active_day_ratio_delta,worsening,0.02787955616696248
mean_daily_overnight_ratio,worsening,0.16499774950706422
mean_daily_overnight_ratio_delta,worsening,-0.03924545035158895
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.0
age,worsening,-0.027927556903451695
mean_daily_screens,worsening,0.0
mean_daily_screens_delta,worsening,0.0
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.0
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.03902816824574761
switches_per_screen,worsening,0.07236675725550769
switches_per_screen_delta,worsening,0.0
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.04380641459446385
clip_dispersion,worsening,-0.016448790381057763
clip_dispersion_delta,worsening,0.0
gender_mode_1,worsening,-0.06393485481248963
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.09352700098664987
lag_mean_daily_overnight_ratio,worsening,-0.13128913196506234
lag_mean_daily_overnight_ratio_delta,worsening,0.0
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0
lag_mean_daily_screens,worsening,0.05234343892151264
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.024901516116858327
lag_mean_daily_unique_apps_delta,worsening,-0.0477624719743383
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0417926819155708
lag_switches_per_screen,worsening,0.0
lag_switches_per_screen_delta,worsening,0.09462732136569209
lag_mean_daily_social_screens,worsening,0.0
lag_mean_daily_social_screens_delta,worsening,0.0
lag_clip_dispersion,worsening,-0.03209137052023898
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,1.776300124534234
