feature,importance
prior_cesd,0.07399672
person_mean_cesd,0.071984515
age,0.03307147
gender_mode_1,0.031914044
lag_clip_dispersion,0.028099421
mean_daily_social_ratio_delta,0.02808471
mean_daily_social_screens_delta,0.027636481
mean_daily_social_screens,0.025660789
lag_clip_dispersion_delta,0.025109302
mean_daily_overnight_ratio,0.024877395
lag_mean_daily_social_screens_delta,0.02446034
mean_daily_overnight_ratio_delta,0.02416
lag_mean_daily_overnight_ratio_delta,0.024084602
mean_daily_switches_delta,0.024017742
lag_mean_daily_social_ratio,0.023461003
mean_daily_screens_delta,0.023337977
lag_active_day_ratio_delta,0.02328515
lag_switches_per_screen,0.023082945
lag_mean_daily_screens,0.022977535
lag_switches_per_screen_delta,0.0229405
mean_daily_switches,0.022859797
lag_mean_daily_unique_apps,0.022528673
mean_daily_social_ratio,0.022429327
mean_daily_screens,0.022314755
lag_mean_daily_switches_delta,0.022120925
clip_dispersion,0.022101235
lag_mean_daily_switches,0.02205507
lag_mean_daily_screens_delta,0.021933299
lag_mean_daily_overnight_ratio,0.021098131
lag_mean_daily_social_screens,0.021038536
clip_dispersion_delta,0.020692918
lag_mean_daily_unique_apps_delta,0.020620842
lag_mean_daily_social_ratio_delta,0.020283109
switches_per_screen,0.020003723
mean_daily_unique_apps,0.019646388
gender_mode_2,0.019601915
switches_per_screen_delta,0.018439163
mean_daily_unique_apps_delta,0.018126765
active_day_ratio_delta,0.015862776
