feature,importance
prior_cesd,371
person_mean_cesd,306
mean_daily_overnight_ratio_delta,99
age,85
lag_mean_daily_overnight_ratio_delta,66
mean_daily_social_ratio_delta,65
mean_daily_overnight_ratio,60
lag_clip_dispersion_delta,59
lag_mean_daily_social_screens_delta,58
clip_dispersion_delta,54
lag_switches_per_screen_delta,53
lag_mean_daily_overnight_ratio,49
switches_per_screen_delta,44
mean_daily_screens_delta,44
lag_mean_daily_unique_apps_delta,43
mean_daily_switches_delta,42
lag_mean_daily_screens_delta,41
lag_mean_daily_unique_apps,40
mean_daily_switches,40
clip_dispersion,39
mean_daily_social_screens_delta,37
mean_daily_social_screens,35
lag_mean_daily_switches_delta,35
mean_daily_social_ratio,35
mean_daily_unique_apps_delta,32
mean_daily_screens,28
lag_mean_daily_social_screens,28
lag_mean_daily_social_ratio_delta,25
lag_mean_daily_screens,23
lag_clip_dispersion,23
lag_mean_daily_switches,23
mean_daily_unique_apps,23
lag_switches_per_screen,22
lag_mean_daily_social_ratio,19
switches_per_screen,18
gender_mode_1,12
active_day_ratio_delta,4
lag_active_day_ratio_delta,3
gender_mode_2,2
