feature,class,mean_abs_shap
prior_cesd,improving,0.772177388155555
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.03363361456087062
mean_daily_overnight_ratio_delta,improving,0.03264374226521813
mean_daily_social_ratio,improving,0.01623739976928578
mean_daily_social_ratio_delta,improving,0.013958120200988819
age,improving,0.01307593943650912
mean_daily_screens,improving,0.006874969285325431
mean_daily_screens_delta,improving,0.0044304157108492745
mean_daily_unique_apps,improving,0.004763162060382895
mean_daily_unique_apps_delta,improving,0.011364374560639975
mean_daily_switches,improving,0.01392247979984492
mean_daily_switches_delta,improving,0.013105921971243611
switches_per_screen,improving,0.0037925674975701545
switches_per_screen_delta,improving,0.006020664641921308
mean_daily_social_screens,improving,0.005316157505367244
mean_daily_social_screens_delta,improving,0.020257301442621143
clip_dispersion,improving,0.021163506744491807
clip_dispersion_delta,improving,0.017047684558191625
gender_mode_1,improving,0.0
gender_mode_2,improving,0.0030399132236839745
lag_active_day_ratio_delta,improving,0.0008511606243479582
lag_mean_daily_overnight_ratio,improving,0.01416701552935603
lag_mean_daily_overnight_ratio_delta,improving,0.011919344138948703
lag_mean_daily_social_ratio,improving,0.0037335328821573124
lag_mean_daily_social_ratio_delta,improving,0.007205440409860531
lag_mean_daily_screens,improving,0.001964091328072896
lag_mean_daily_screens_delta,improving,0.006837948081117887
lag_mean_daily_unique_apps,improving,0.007719271493924398
lag_mean_daily_unique_apps_delta,improving,0.010555329787529776
lag_mean_daily_switches,improving,0.0038438200516521036
lag_mean_daily_switches_delta,improving,0.005474479282314547
lag_switches_per_screen,improving,0.004548041668459732
lag_switches_per_screen_delta,improving,0.015300387165141583
lag_mean_daily_social_screens,improving,0.008084938566268301
lag_mean_daily_social_screens_delta,improving,0.022773455730328344
lag_clip_dispersion,improving,0.0035750728948064085
lag_clip_dispersion_delta,improving,0.013302163707139908
person_mean_cesd,improving,0.28522266636907406
prior_cesd,stable,0.27684643666549835
active_day_ratio_delta,stable,0.0
mean_daily_overnight_ratio,stable,0.009569469489378632
mean_daily_overnight_ratio_delta,stable,0.02974889459400104
mean_daily_social_ratio,stable,0.021061669615576047
mean_daily_social_ratio_delta,stable,0.019750481952915722
age,stable,0.039848327174763686
mean_daily_screens,stable,0.02674166151820729
mean_daily_screens_delta,stable,0.023743860403343725
mean_daily_unique_apps,stable,0.01108389784416755
mean_daily_unique_apps_delta,stable,0.009443021768510352
mean_daily_switches,stable,0.016673912668507058
mean_daily_switches_delta,stable,0.024120455624565124
switches_per_screen,stable,0.003861290415979292
switches_per_screen_delta,stable,0.025095639563281306
mean_daily_social_screens,stable,0.046881729482875056
mean_daily_social_screens_delta,stable,0.006421367287629702
clip_dispersion,stable,0.013163277961739037
clip_dispersion_delta,stable,0.01231890728807327
gender_mode_1,stable,0.03048228762194116
gender_mode_2,stable,0.0007447731704973664
lag_active_day_ratio_delta,stable,0.0036327157558591967
lag_mean_daily_overnight_ratio,stable,0.010798979840798952
lag_mean_daily_overnight_ratio_delta,stable,0.015152774216672531
lag_mean_daily_social_ratio,stable,0.011964196629159742
lag_mean_daily_social_ratio_delta,stable,0.0038922935305883166
lag_mean_daily_screens,stable,0.01034296756577142
lag_mean_daily_screens_delta,stable,0.0052366397499075176
lag_mean_daily_unique_apps,stable,0.04254873554168737
lag_mean_daily_unique_apps_delta,stable,0.008086022216747734
lag_mean_daily_switches,stable,0.0187538405466481
lag_mean_daily_switches_delta,stable,0.00726950768638798
lag_switches_per_screen,stable,0.006211601115938821
lag_switches_per_screen_delta,stable,0.015874947974791043
lag_mean_daily_social_screens,stable,0.0010221636956904202
lag_mean_daily_social_screens_delta,stable,0.019893111638764005
lag_clip_dispersion,stable,0.018049135656615412
lag_clip_dispersion_delta,stable,0.024732742330635094
person_mean_cesd,stable,0.24084009449367744
prior_cesd,worsening,0.33195664950263826
active_day_ratio_delta,worsening,0.003088022526665514
mean_daily_overnight_ratio,worsening,0.038854000796049205
mean_daily_overnight_ratio_delta,worsening,0.02081197129686616
mean_daily_social_ratio,worsening,0.004140386435118006
mean_daily_social_ratio_delta,worsening,0.04172645393506002
age,worsening,0.017973855417134123
mean_daily_screens,worsening,0.005447093122672476
mean_daily_screens_delta,worsening,0.008932094383977759
mean_daily_unique_apps,worsening,0.005585912895475698
mean_daily_unique_apps_delta,worsening,0.004146810047583481
mean_daily_switches,worsening,0.015836036638931062
mean_daily_switches_delta,worsening,0.007338046315686089
switches_per_screen,worsening,0.003912596168677658
switches_per_screen_delta,worsening,0.00726138687850789
mean_daily_social_screens,worsening,0.008081291435966349
mean_daily_social_screens_delta,worsening,0.040684899465266086
clip_dispersion,worsening,0.012379372760186105
