feature,class,coefficient
prior_cesd,improving,0.21846707266977403
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0
mean_daily_overnight_ratio_delta,improving,0.0
mean_daily_social_ratio,improving,0.0
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,0.0
mean_daily_screens_delta,improving,0.0
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,0.0
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.0
mean_daily_social_screens_delta,improving,-0.02934063155401643
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,-0.02130921437889463
gender_mode_1,improving,0.0
gender_mode_2,improving,0.0
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.0
lag_mean_daily_overnight_ratio_delta,improving,0.0
lag_mean_daily_social_ratio,improving,0.0
lag_mean_daily_social_ratio_delta,improving,0.0
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.005665038639745668
lag_mean_daily_unique_apps,improving,-0.03364836162894573
lag_mean_daily_unique_apps_delta,improving,0.016535966087471564
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,0.02815598805422052
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.07180524764528207
person_mean_cesd,improving,-0.08475273141083936
prior_cesd,stable,0.0
active_day_ratio_delta,stable,0.0
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.0
mean_daily_social_ratio,stable,0.0
mean_daily_social_ratio_delta,stable,0.0
age,stable,0.0
mean_daily_screens,stable,0.05733657423645193
mean_daily_screens_delta,stable,0.0
mean_daily_unique_apps,stable,0.0
mean_daily_unique_apps_delta,stable,0.0
mean_daily_switches,stable,0.0
mean_daily_switches_delta,stable,-0.10122539480265431
switches_per_screen,stable,-0.03486964792549716
switches_per_screen_delta,stable,0.0
mean_daily_social_screens,stable,0.0
mean_daily_social_screens_delta,stable,0.0
clip_dispersion,stable,0.0
clip_dispersion_delta,stable,0.0
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0
lag_active_day_ratio_delta,stable,0.0
lag_mean_daily_overnight_ratio,stable,0.0
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.0
lag_mean_daily_social_ratio_delta,stable,0.0
lag_mean_daily_screens,stable,0.01297404483590908
lag_mean_daily_screens_delta,stable,-0.05351230257459159
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,0.0
lag_mean_daily_switches,stable,0.0
lag_mean_daily_switches_delta,stable,0.0
lag_switches_per_screen,stable,0.0
lag_switches_per_screen_delta,stable,0.0
lag_mean_daily_social_screens,stable,-0.05013120145087359
lag_mean_daily_social_screens_delta,stable,0.0
lag_clip_dispersion,stable,-0.04006900780908209
lag_clip_dispersion_delta,stable,0.0
person_mean_cesd,stable,0.0
prior_cesd,worsening,-0.17203992525178957
active_day_ratio_delta,worsening,0.0
mean_daily_overnight_ratio,worsening,0.0
mean_daily_overnight_ratio_delta,worsening,0.0
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.0
age,worsening,0.056581899039883615
mean_daily_screens,worsening,-0.054562181026965195
mean_daily_screens_delta,worsening,0.0
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.0655196006328
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.0
switches_per_screen,worsening,0.05931413285993637
switches_per_screen_delta,worsening,0.0
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.2022241520167323
clip_dispersion,worsening,0.0
clip_dispersion_delta,worsening,0.046897404909080224
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.0
lag_mean_daily_overnight_ratio,worsening,0.0
lag_mean_daily_overnight_ratio_delta,worsening,0.0
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0
lag_mean_daily_screens,worsening,0.0
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.0
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0
lag_switches_per_screen,worsening,0.0
lag_switches_per_screen_delta,worsening,0.0
lag_mean_daily_social_screens,worsening,0.036405927539079425
lag_mean_daily_social_screens_delta,worsening,-0.03601458537857067
lag_clip_dispersion,worsening,0.012838183345420617
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,0.2486230559938357
