feature,importance
prior_cesd,0.27209112
person_mean_cesd,0.17492329
lag_mean_daily_social_ratio,0.060318056
lag_mean_daily_social_screens_delta,0.04682025
clip_dispersion_delta,0.04155999
mean_daily_overnight_ratio_delta,0.040999554
mean_daily_switches_delta,0.040567167
mean_daily_screens,0.038597994
mean_daily_screens_delta,0.038246065
lag_mean_daily_social_ratio_delta,0.03600948
mean_daily_social_screens_delta,0.035528827
switches_per_screen,0.033088833
lag_clip_dispersion_delta,0.031703185
mean_daily_switches,0.029982455
lag_switches_per_screen,0.029455738
switches_per_screen_delta,0.022303062
lag_switches_per_screen_delta,0.012777886
mean_daily_social_screens,0.011602933
mean_daily_social_ratio_delta,0.0034241276
lag_mean_daily_unique_apps_delta,0.0
lag_mean_daily_switches,0.0
mean_daily_overnight_ratio,0.0
lag_mean_daily_switches_delta,0.0
lag_mean_daily_screens_delta,0.0
lag_mean_daily_social_screens,0.0
lag_clip_dispersion,0.0
lag_mean_daily_unique_apps,0.0
gender_mode_2,0.0
lag_mean_daily_screens,0.0
lag_mean_daily_overnight_ratio_delta,0.0
lag_mean_daily_overnight_ratio,0.0
lag_active_day_ratio_delta,0.0
active_day_ratio_delta,0.0
clip_dispersion,0.0
mean_daily_unique_apps_delta,0.0
mean_daily_unique_apps,0.0
age,0.0
mean_daily_social_ratio,0.0
gender_mode_1,0.0
