feature,importance
person_mean_cesd,300
prior_cesd,269
mean_daily_switches_delta,33
mean_daily_screens_delta,22
lag_mean_daily_social_ratio,22
lag_switches_per_screen,17
mean_daily_switches,12
switches_per_screen_delta,12
mean_daily_overnight_ratio_delta,9
mean_daily_screens,4
lag_mean_daily_switches,0
lag_mean_daily_screens,0
lag_mean_daily_screens_delta,0
lag_mean_daily_unique_apps,0
lag_mean_daily_unique_apps_delta,0
mean_daily_overnight_ratio,0
lag_mean_daily_switches_delta,0
lag_switches_per_screen_delta,0
lag_mean_daily_social_screens,0
lag_mean_daily_social_screens_delta,0
lag_clip_dispersion,0
lag_clip_dispersion_delta,0
lag_mean_daily_social_ratio_delta,0
gender_mode_2,0
lag_mean_daily_overnight_ratio_delta,0
lag_mean_daily_overnight_ratio,0
lag_active_day_ratio_delta,0
active_day_ratio_delta,0
clip_dispersion_delta,0
clip_dispersion,0
mean_daily_social_screens_delta,0
mean_daily_social_screens,0
switches_per_screen,0
mean_daily_unique_apps_delta,0
mean_daily_unique_apps,0
age,0
mean_daily_social_ratio_delta,0
mean_daily_social_ratio,0
gender_mode_1,0
