feature,class,coefficient
prior_cesd,improving,1.7886030051846173
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0
mean_daily_overnight_ratio_delta,improving,-0.10935171678492797
mean_daily_social_ratio,improving,0.0
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,0.0
mean_daily_screens_delta,improving,0.007032574921267686
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,0.0
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.0
mean_daily_social_screens_delta,improving,0.0
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.0
gender_mode_1,improving,0.0
gender_mode_2,improving,-0.08532025872152536
lag_active_day_ratio_delta,improving,-0.0037465107612979793
lag_mean_daily_overnight_ratio,improving,0.0
lag_mean_daily_overnight_ratio_delta,improving,0.0
lag_mean_daily_social_ratio,improving,0.0
lag_mean_daily_social_ratio_delta,improving,0.0
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.0
lag_mean_daily_unique_apps,improving,0.0
lag_mean_daily_unique_apps_delta,improving,0.12208732512232832
lag_mean_daily_switches,improving,-0.021372707596789813
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,-0.012506793463931498
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.0
person_mean_cesd,improving,-1.4338747149283655
prior_cesd,stable,-0.02426701965909379
active_day_ratio_delta,stable,-0.12230954346089792
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.0
mean_daily_social_ratio,stable,0.015391013460374558
mean_daily_social_ratio_delta,stable,-0.08610393625762487
age,stable,0.04935624537380472
mean_daily_screens,stable,0.0649077707369318
mean_daily_screens_delta,stable,0.0
mean_daily_unique_apps,stable,-0.033010749660598235
mean_daily_unique_apps_delta,stable,-0.115197425894515
mean_daily_switches,stable,0.0
mean_daily_switches_delta,stable,-0.010279948479139527
switches_per_screen,stable,0.0
switches_per_screen_delta,stable,-0.10261493738263708
mean_daily_social_screens,stable,0.0
mean_daily_social_screens_delta,stable,0.0
clip_dispersion,stable,0.08471044736504475
clip_dispersion_delta,stable,-0.011474258350673673
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0
lag_active_day_ratio_delta,stable,0.024486823367030328
lag_mean_daily_overnight_ratio,stable,-0.02775030926512342
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.0
lag_mean_daily_social_ratio_delta,stable,0.0
lag_mean_daily_screens,stable,0.01393884648268495
lag_mean_daily_screens_delta,stable,-0.013517036981825648
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,-0.021044846659550573
lag_mean_daily_switches,stable,0.0227184017148087
lag_mean_daily_switches_delta,stable,-0.11445499158860217
lag_switches_per_screen,stable,0.0
lag_switches_per_screen_delta,stable,0.0
lag_mean_daily_social_screens,stable,0.0
lag_mean_daily_social_screens_delta,stable,0.05060613633461373
lag_clip_dispersion,stable,0.012272678168171134
lag_clip_dispersion_delta,stable,0.06768193780228281
person_mean_cesd,stable,0.0
prior_cesd,worsening,-0.8921983499556528
active_day_ratio_delta,worsening,0.0
mean_daily_overnight_ratio,worsening,0.0
mean_daily_overnight_ratio_delta,worsening,0.05335251859700739
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.053470981603691355
age,worsening,-0.01567576178827343
mean_daily_screens,worsening,-0.0038149889405271965
mean_daily_screens_delta,worsening,0.0
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.01629208453447536
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.0
switches_per_screen,worsening,0.03282289818432965
switches_per_screen_delta,worsening,0.02728680214371711
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.0
clip_dispersion,worsening,0.0
clip_dispersion_delta,worsening,0.010514287690812666
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.02240716563093522
lag_active_day_ratio_delta,worsening,0.0
lag_mean_daily_overnight_ratio,worsening,0.07629800206606006
lag_mean_daily_overnight_ratio_delta,worsening,-0.03972340732666127
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0
lag_mean_daily_screens,worsening,0.0
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.0
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0
lag_switches_per_screen,worsening,0.0
lag_switches_per_screen_delta,worsening,0.0
lag_mean_daily_social_screens,worsening,0.04082166788126957
lag_mean_daily_social_screens_delta,worsening,0.0
lag_clip_dispersion,worsening,0.0
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,0.9596026242017811
