feature,importance
prior_cesd,768
person_mean_cesd,669
lag_clip_dispersion_delta,180
age,166
clip_dispersion_delta,159
lag_mean_daily_unique_apps_delta,154
switches_per_screen,147
lag_mean_daily_social_ratio,129
lag_mean_daily_screens_delta,119
mean_daily_overnight_ratio_delta,106
lag_switches_per_screen,104
lag_mean_daily_screens,86
lag_mean_daily_switches_delta,84
clip_dispersion,76
mean_daily_social_screens_delta,76
mean_daily_unique_apps_delta,75
lag_mean_daily_overnight_ratio_delta,70
mean_daily_overnight_ratio,65
mean_daily_screens_delta,60
mean_daily_screens,57
lag_clip_dispersion,56
lag_mean_daily_social_screens_delta,55
mean_daily_social_ratio,55
mean_daily_social_ratio_delta,54
mean_daily_switches_delta,42
mean_daily_switches,41
switches_per_screen_delta,38
mean_daily_unique_apps,37
lag_mean_daily_overnight_ratio,37
lag_mean_daily_unique_apps,35
lag_mean_daily_social_screens,33
lag_switches_per_screen_delta,32
lag_mean_daily_switches,29
lag_mean_daily_social_ratio_delta,26
mean_daily_social_screens,11
gender_mode_2,5
active_day_ratio_delta,1
lag_active_day_ratio_delta,0
gender_mode_1,0
