feature,class,mean_abs_shap
prior_cesd,improving,0.4221778835363817
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0029535486393478306
mean_daily_overnight_ratio_delta,improving,0.0
mean_daily_social_ratio,improving,0.00015628771660782586
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.00046145289901333903
mean_daily_screens,improving,0.0
mean_daily_screens_delta,improving,0.008753947711772807
mean_daily_unique_apps,improving,0.0022935838899750703
mean_daily_unique_apps_delta,improving,0.003404229117718397
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.002220596228521214
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.0
mean_daily_social_screens_delta,improving,0.0
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.024644015523113613
gender_mode_1,improving,0.0
gender_mode_2,improving,0.0
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.0
lag_mean_daily_overnight_ratio_delta,improving,0.013793542990823368
lag_mean_daily_social_ratio,improving,0.0011742048155276895
lag_mean_daily_social_ratio_delta,improving,0.0030214338025435546
lag_mean_daily_screens,improving,0.0058806262934477166
lag_mean_daily_screens_delta,improving,0.014579423704723003
lag_mean_daily_unique_apps,improving,0.000439680634139636
lag_mean_daily_unique_apps_delta,improving,0.015561204123060578
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.012269418869785907
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,0.0015199377795619034
lag_clip_dispersion,improving,0.0010929820081346084
lag_clip_dispersion_delta,improving,0.022797887763548935
person_mean_cesd,improving,0.27111676068074764
prior_cesd,stable,0.13690491357163007
active_day_ratio_delta,stable,0.0003981871365459183
mean_daily_overnight_ratio,stable,0.007432651191291656
mean_daily_overnight_ratio_delta,stable,0.01395845968528565
mean_daily_social_ratio,stable,0.02599735692504799
mean_daily_social_ratio_delta,stable,0.011749191025939567
age,stable,0.027028482348365263
mean_daily_screens,stable,0.009813060336627629
mean_daily_screens_delta,stable,0.0040662674577198
mean_daily_unique_apps,stable,0.004474602478182388
mean_daily_unique_apps_delta,stable,0.02404939878849191
mean_daily_switches,stable,0.007428394916335879
mean_daily_switches_delta,stable,0.0
switches_per_screen,stable,0.02289366027329211
switches_per_screen_delta,stable,0.004663388311959801
mean_daily_social_screens,stable,0.00043401351978010076
mean_daily_social_screens_delta,stable,0.016873342858972653
clip_dispersion,stable,0.009748208895311816
clip_dispersion_delta,stable,0.011665007177479396
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0009613542096613193
lag_active_day_ratio_delta,stable,0.0
lag_mean_daily_overnight_ratio,stable,0.0015223474613126915
lag_mean_daily_overnight_ratio_delta,stable,0.00979504420445834
lag_mean_daily_social_ratio,stable,0.021912826878871347
lag_mean_daily_social_ratio_delta,stable,0.0034971093114119466
lag_mean_daily_screens,stable,0.006411487669564273
lag_mean_daily_screens_delta,stable,0.021794296718449707
lag_mean_daily_unique_apps,stable,0.006557797225698583
