feature,class,mean_abs_shap
prior_cesd,improving,0.4004988372325897
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.002706384053453803
mean_daily_overnight_ratio_delta,improving,0.001384043600410223
mean_daily_social_ratio,improving,0.0018722261302173138
mean_daily_social_ratio_delta,improving,0.005018333904445171
age,improving,0.0003804013831540942
mean_daily_screens,improving,0.0013967478880658746
mean_daily_screens_delta,improving,0.0036229980178177357
mean_daily_unique_apps,improving,0.00357368984259665
mean_daily_unique_apps_delta,improving,0.0014551383210346103
mean_daily_switches,improving,0.0017331962008029222
mean_daily_switches_delta,improving,0.004846037365496159
switches_per_screen,improving,0.004151779226958752
switches_per_screen_delta,improving,7.897773321019486e-05
mean_daily_social_screens,improving,0.006738103460520506
mean_daily_social_screens_delta,improving,0.0002179225703002885
clip_dispersion,improving,0.0013756284024566412
clip_dispersion_delta,improving,0.02134273387491703
gender_mode_1,improving,0.0
gender_mode_2,improving,0.0
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.0038993381895124912
lag_mean_daily_overnight_ratio_delta,improving,0.010145648382604122
lag_mean_daily_social_ratio,improving,0.0031745764426887035
lag_mean_daily_social_ratio_delta,improving,0.0060354676097631454
lag_mean_daily_screens,improving,0.006106395740061998
lag_mean_daily_screens_delta,improving,0.014458142220973969
lag_mean_daily_unique_apps,improving,0.0023162851575762033
lag_mean_daily_unique_apps_delta,improving,0.017018325626850128
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.003564084181562066
lag_switches_per_screen,improving,0.012075661681592464
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0021230955608189106
lag_mean_daily_social_screens_delta,improving,0.0028007563669234514
lag_clip_dispersion,improving,0.002435446949675679
lag_clip_dispersion_delta,improving,0.006756269372999668
person_mean_cesd,improving,0.22471903264522552
prior_cesd,stable,0.11826221644878387
active_day_ratio_delta,stable,0.0019908244721591473
mean_daily_overnight_ratio,stable,0.005039687268435955
mean_daily_overnight_ratio_delta,stable,0.010030768811702728
mean_daily_social_ratio,stable,0.02240622043609619
mean_daily_social_ratio_delta,stable,0.010284862481057644
age,stable,0.022466009482741356
mean_daily_screens,stable,0.0022397080902010202
mean_daily_screens_delta,stable,0.006806559860706329
mean_daily_unique_apps,stable,0.0035965924616903067
mean_daily_unique_apps_delta,stable,0.01967913657426834
mean_daily_switches,stable,0.0011990503408014774
mean_daily_switches_delta,stable,0.0030841634143143892
switches_per_screen,stable,0.015614975243806839
switches_per_screen_delta,stable,0.003926859237253666
mean_daily_social_screens,stable,0.0007779981824569404
mean_daily_social_screens_delta,stable,0.011285358108580112
clip_dispersion,stable,0.00901537761092186
clip_dispersion_delta,stable,0.007231558207422495
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0
lag_active_day_ratio_delta,stable,0.0005079253460280597
lag_mean_daily_overnight_ratio,stable,0.0015183703508228064
lag_mean_daily_overnight_ratio_delta,stable,0.01775696873664856
lag_mean_daily_social_ratio,stable,0.011649968102574348
lag_mean_daily_social_ratio_delta,stable,0.0034057956654578447
lag_mean_daily_screens,stable,0.007110313046723604
lag_mean_daily_screens_delta,stable,0.012989099137485027
lag_mean_daily_unique_apps,stable,0.000629021436907351
lag_mean_daily_unique_apps_delta,stable,0.015667825937271118
lag_mean_daily_switches,stable,0.008235868066549301
lag_mean_daily_switches_delta,stable,0.019330207258462906
lag_switches_per_screen,stable,0.0049271187745034695
lag_switches_per_screen_delta,stable,0.003622978925704956
lag_mean_daily_social_screens,stable,0.007817855104804039
lag_mean_daily_social_screens_delta,stable,0.013479848392307758
lag_clip_dispersion,stable,0.010316373780369759
lag_clip_dispersion_delta,stable,0.007202735636383295
person_mean_cesd,stable,0.07819978147745132
prior_cesd,worsening,0.14067895710468292
active_day_ratio_delta,worsening,0.003130174707621336
mean_daily_overnight_ratio,worsening,0.011353237554430962
mean_daily_overnight_ratio_delta,worsening,0.018192853778600693
mean_daily_social_ratio,worsening,0.0007944473181851208
mean_daily_social_ratio_delta,worsening,0.007476096972823143
age,worsening,0.02107459492981434
mean_daily_screens,worsening,0.0013466860400512815
mean_daily_screens_delta,worsening,0.003560199635103345
mean_daily_unique_apps,worsening,0.00029856982291676104
mean_daily_unique_apps_delta,worsening,0.0066383033990859985
mean_daily_switches,worsening,0.00032745025237090886
mean_daily_switches_delta,worsening,0.007780826184898615
switches_per_screen,worsening,0.014857863076031208
switches_per_screen_delta,worsening,0.006747271399945021
mean_daily_social_screens,worsening,0.0009515231940895319
mean_daily_social_screens_delta,worsening,0.014687689952552319
clip_dispersion,worsening,0.002405805280432105
clip_dispersion_delta,worsening,0.006277486216276884
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.0
lag_mean_daily_overnight_ratio,worsening,0.005345022771507502
lag_mean_daily_overnight_ratio_delta,worsening,0.01412490289658308
lag_mean_daily_social_ratio,worsening,0.010642572306096554
lag_mean_daily_social_ratio_delta,worsening,0.0017048310255631804
lag_mean_daily_screens,worsening,0.004393945448100567
lag_mean_daily_screens_delta,worsening,0.013422384858131409
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.006744988262653351
lag_mean_daily_switches,worsening,0.007258889731019735
lag_mean_daily_switches_delta,worsening,0.012480270117521286
lag_switches_per_screen,worsening,0.01530687976628542
lag_switches_per_screen_delta,worsening,0.010891859419643879
lag_mean_daily_social_screens,worsening,0.003462227527052164
lag_mean_daily_social_screens_delta,worsening,0.010242507793009281
lag_clip_dispersion,worsening,0.011173654347658157
lag_clip_dispersion_delta,worsening,0.02571570873260498
person_mean_cesd,worsening,0.16081282496452332
