transition,n_cases,rank,feature,mean_abs_shap
all_worsening,37,1,person_mean_cesd,0.3446431005214082
all_worsening,37,2,prior_cesd,0.161654753087026
all_worsening,37,3,mean_daily_screens_delta,0.0012191771232481878
all_worsening,37,4,clip_dispersion,0.0
all_worsening,37,5,mean_daily_social_screens,0.0
all_worsening,37,6,switches_per_screen_delta,0.0
all_worsening,37,7,switches_per_screen,0.0
all_worsening,37,8,mean_daily_switches_delta,0.0
all_worsening,37,9,mean_daily_switches,0.0
all_worsening,37,10,mean_daily_unique_apps_delta,0.0
min→mod,20,1,person_mean_cesd,0.3486723540323824
min→mod,20,2,prior_cesd,0.19557197323891806
min→mod,20,3,mean_daily_screens_delta,0.0013892090919471333
min→mod,20,4,clip_dispersion,0.0
min→mod,20,5,mean_daily_social_screens,0.0
min→mod,20,6,switches_per_screen_delta,0.0
min→mod,20,7,switches_per_screen,0.0
min→mod,20,8,mean_daily_switches_delta,0.0
min→mod,20,9,mean_daily_switches,0.0
min→mod,20,10,mean_daily_unique_apps_delta,0.0
min→sev,9,1,person_mean_cesd,0.3457171516325772
min→sev,9,2,prior_cesd,0.19475593229458107
min→sev,9,3,mean_daily_screens_delta,0.0009122377681402352
min→sev,9,4,clip_dispersion,0.0
min→sev,9,5,mean_daily_social_screens,0.0
min→sev,9,6,switches_per_screen_delta,0.0
min→sev,9,7,switches_per_screen,0.0
min→sev,9,8,mean_daily_switches_delta,0.0
min→sev,9,9,mean_daily_switches,0.0
min→sev,9,10,mean_daily_unique_apps_delta,0.0
mod→sev,8,1,person_mean_cesd,0.3333616592439077
mod→sev,8,2,prior_cesd,0.03962287609879667
mod→sev,8,3,mean_daily_screens_delta,0.0011394039759972758
mod→sev,8,4,clip_dispersion,0.0
mod→sev,8,5,mean_daily_social_screens,0.0
mod→sev,8,6,switches_per_screen_delta,0.0
mod→sev,8,7,switches_per_screen,0.0
mod→sev,8,8,mean_daily_switches_delta,0.0
mod→sev,8,9,mean_daily_switches,0.0
mod→sev,8,10,mean_daily_unique_apps_delta,0.0
