transition,n_cases,rank,feature,mean_abs_shap
all_worsening,37,1,person_mean_cesd,0.30284833908081055
all_worsening,37,2,prior_cesd,0.2705024480819702
all_worsening,37,3,lag_mean_daily_social_screens_delta,0.006736578419804573
all_worsening,37,4,mean_daily_screens_delta,0.0048592970706522465
all_worsening,37,5,lag_mean_daily_social_ratio_delta,0.003011201275512576
all_worsening,37,6,active_day_ratio_delta,0.0
all_worsening,37,7,mean_daily_social_screens,0.0
all_worsening,37,8,switches_per_screen_delta,0.0
all_worsening,37,9,switches_per_screen,0.0
all_worsening,37,10,mean_daily_switches_delta,0.0
min→mod,20,1,prior_cesd,0.3388045132160187
min→mod,20,2,person_mean_cesd,0.3045126795768738
min→mod,20,3,mean_daily_screens_delta,0.005655549466609955
min→mod,20,4,lag_mean_daily_social_screens_delta,0.005198276601731777
min→mod,20,5,lag_mean_daily_social_ratio_delta,0.0019895900040864944
min→mod,20,6,active_day_ratio_delta,0.0
min→mod,20,7,mean_daily_social_screens,0.0
min→mod,20,8,switches_per_screen_delta,0.0
min→mod,20,9,switches_per_screen,0.0
min→mod,20,10,mean_daily_switches_delta,0.0
min→sev,9,1,person_mean_cesd,0.34755590558052063
min→sev,9,2,prior_cesd,0.34088584780693054
min→sev,9,3,lag_mean_daily_social_screens_delta,0.008074800483882427
min→sev,9,4,lag_mean_daily_social_ratio_delta,0.00446474039927125
min→sev,9,5,mean_daily_screens_delta,0.004111742600798607
min→sev,9,6,mean_daily_overnight_ratio,0.0
min→sev,9,7,mean_daily_overnight_ratio_delta,0.0
min→sev,9,8,mean_daily_social_ratio,0.0
min→sev,9,9,mean_daily_social_ratio_delta,0.0
min→sev,9,10,age,0.0
mod→sev,8,1,person_mean_cesd,0.24839138984680176
mod→sev,8,2,prior_cesd,0.02056584507226944
mod→sev,8,3,lag_mean_daily_social_screens_delta,0.009076833724975586
mod→sev,8,4,lag_mean_daily_social_ratio_delta,0.003929999656975269
mod→sev,8,5,mean_daily_screens_delta,0.0037096692249178886
mod→sev,8,6,mean_daily_overnight_ratio,0.0
mod→sev,8,7,mean_daily_overnight_ratio_delta,0.0
mod→sev,8,8,mean_daily_social_ratio,0.0
mod→sev,8,9,mean_daily_social_ratio_delta,0.0
mod→sev,8,10,age,0.0
