feature,class,mean_abs_shap
prior_cesd,improving,0.65670055
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0
mean_daily_overnight_ratio_delta,improving,0.009103291
mean_daily_social_ratio,improving,0.0
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,0.004674305
mean_daily_screens_delta,improving,0.000106999956
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,0.0
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.0
mean_daily_social_screens_delta,improving,0.008432868
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.002197902
gender_mode_1,improving,0.0
gender_mode_2,improving,0.0
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.0
lag_mean_daily_overnight_ratio_delta,improving,0.0
lag_mean_daily_social_ratio,improving,0.008390191
lag_mean_daily_social_ratio_delta,improving,0.0
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.0
lag_mean_daily_unique_apps,improving,0.0
lag_mean_daily_unique_apps_delta,improving,0.0
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,0.0
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.0055893403
person_mean_cesd,improving,0.09599184
prior_cesd,stable,0.21678607
active_day_ratio_delta,stable,0.0
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.0
mean_daily_social_ratio,stable,0.0
mean_daily_social_ratio_delta,stable,0.00056671555
age,stable,0.0
mean_daily_screens,stable,0.0
mean_daily_screens_delta,stable,0.00637177
mean_daily_unique_apps,stable,0.0
mean_daily_unique_apps_delta,stable,0.0
mean_daily_switches,stable,0.00047055542
mean_daily_switches_delta,stable,0.015657166
switches_per_screen,stable,0.0032334344
switches_per_screen_delta,stable,0.012283234
mean_daily_social_screens,stable,0.00027954424
mean_daily_social_screens_delta,stable,0.002832402
clip_dispersion,stable,0.0
clip_dispersion_delta,stable,0.0
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0
lag_active_day_ratio_delta,stable,0.0
lag_mean_daily_overnight_ratio,stable,0.0
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.0
lag_mean_daily_social_ratio_delta,stable,0.0007328687
lag_mean_daily_screens,stable,0.0
lag_mean_daily_screens_delta,stable,0.0
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,0.0
lag_mean_daily_switches,stable,0.0
lag_mean_daily_switches_delta,stable,0.0
lag_switches_per_screen,stable,0.0046297717
lag_switches_per_screen_delta,stable,0.0019574638
lag_mean_daily_social_screens,stable,0.0
lag_mean_daily_social_screens_delta,stable,0.0
lag_clip_dispersion,stable,0.0
lag_clip_dispersion_delta,stable,0.00027229427
person_mean_cesd,stable,0.38784415
prior_cesd,worsening,0.30014065
active_day_ratio_delta,worsening,0.0
mean_daily_overnight_ratio,worsening,0.0
mean_daily_overnight_ratio_delta,worsening,0.0
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.0
age,worsening,0.0
mean_daily_screens,worsening,0.0
mean_daily_screens_delta,worsening,0.006901815
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.0
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.0
switches_per_screen,worsening,0.0
switches_per_screen_delta,worsening,0.0
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.0
clip_dispersion,worsening,0.0
clip_dispersion_delta,worsening,0.0
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.0
lag_mean_daily_overnight_ratio,worsening,0.0
lag_mean_daily_overnight_ratio_delta,worsening,0.0
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0013644157
lag_mean_daily_screens,worsening,0.0
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.0
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0
lag_switches_per_screen,worsening,0.0
lag_switches_per_screen_delta,worsening,0.0
lag_mean_daily_social_screens,worsening,0.0
lag_mean_daily_social_screens_delta,worsening,0.003385107
lag_clip_dispersion,worsening,0.0
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,0.39281934
