class,feature,coefficient,abs_coefficient
improving,prior_cesd,0.06365954081246221,0.06365954081246221
improving,active_day_ratio_delta,0.0,0.0
improving,mean_daily_overnight_ratio,0.0,0.0
improving,mean_daily_overnight_ratio_delta,0.0,0.0
improving,mean_daily_social_ratio,0.0,0.0
improving,mean_daily_social_ratio_delta,0.0,0.0
improving,age,0.0,0.0
improving,mean_daily_screens,0.0,0.0
improving,mean_daily_screens_delta,0.0,0.0
improving,mean_daily_unique_apps,0.0,0.0
improving,mean_daily_unique_apps_delta,0.0,0.0
improving,mean_daily_switches,0.0,0.0
improving,mean_daily_switches_delta,0.0,0.0
improving,switches_per_screen,0.0,0.0
improving,switches_per_screen_delta,0.0,0.0
improving,mean_daily_social_screens,0.0,0.0
improving,mean_daily_social_screens_delta,0.0,0.0
improving,clip_dispersion,-0.052826349232476665,0.052826349232476665
improving,clip_dispersion_delta,0.0,0.0
improving,gender_mode_1,0.0,0.0
improving,gender_mode_2,0.0,0.0
improving,lag_prior_cesd,-0.012021378705963719,0.012021378705963719
improving,lag_active_day_ratio_delta,0.0,0.0
improving,lag_mean_daily_overnight_ratio,0.0,0.0
improving,lag_mean_daily_overnight_ratio_delta,0.0,0.0
improving,lag_mean_daily_social_ratio,0.0,0.0
improving,lag_mean_daily_social_ratio_delta,0.0,0.0
improving,lag_age,0.0,0.0
improving,lag_mean_daily_screens,0.0,0.0
improving,lag_mean_daily_screens_delta,0.0,0.0
improving,lag_mean_daily_unique_apps,0.0,0.0
improving,lag_mean_daily_unique_apps_delta,0.06660749693473857,0.06660749693473857
improving,lag_mean_daily_switches,-0.015072340616960486,0.015072340616960486
improving,lag_mean_daily_switches_delta,0.0,0.0
improving,lag_switches_per_screen,0.0,0.0
improving,lag_switches_per_screen_delta,0.0,0.0
improving,lag_mean_daily_social_screens,-0.012870024627601773,0.012870024627601773
improving,lag_mean_daily_social_screens_delta,-0.014281114879830269,0.014281114879830269
improving,lag_clip_dispersion,0.0,0.0
improving,lag_clip_dispersion_delta,0.0,0.0
improving,lag_gender_mode_1,0.0,0.0
improving,lag_gender_mode_2,0.0,0.0
improving,lag_cesd_delta,0.09405078203207459,0.09405078203207459
