condition,model,params,val_bacc
prior_cesd only,ElasticNet,"C=0.001,l1r=0.1",0.437
prior_cesd only,ElasticNet,"C=0.001,l1r=0.5",0.4626
prior_cesd only,ElasticNet,"C=0.001,l1r=0.9",0.4626
prior_cesd only,ElasticNet,"C=0.001,l1r=0.99",0.4626
prior_cesd only,ElasticNet,"C=0.005,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=0.005,l1r=0.5",0.437
prior_cesd only,ElasticNet,"C=0.005,l1r=0.9",0.433
prior_cesd only,ElasticNet,"C=0.005,l1r=0.99",0.437
prior_cesd only,ElasticNet,"C=0.01,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=0.01,l1r=0.5",0.4626
prior_cesd only,ElasticNet,"C=0.01,l1r=0.9",0.437
prior_cesd only,ElasticNet,"C=0.01,l1r=0.99",0.437
prior_cesd only,ElasticNet,"C=0.05,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=0.05,l1r=0.5",0.4683
prior_cesd only,ElasticNet,"C=0.05,l1r=0.9",0.4683
prior_cesd only,ElasticNet,"C=0.05,l1r=0.99",0.4683
prior_cesd only,ElasticNet,"C=0.1,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=0.1,l1r=0.5",0.4683
prior_cesd only,ElasticNet,"C=0.1,l1r=0.9",0.4683
prior_cesd only,ElasticNet,"C=0.1,l1r=0.99",0.4683
prior_cesd only,ElasticNet,"C=0.5,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=0.5,l1r=0.5",0.4683
prior_cesd only,ElasticNet,"C=0.5,l1r=0.9",0.4683
prior_cesd only,ElasticNet,"C=0.5,l1r=0.99",0.4683
prior_cesd only,ElasticNet,"C=1.0,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=1.0,l1r=0.5",0.4683
prior_cesd only,ElasticNet,"C=1.0,l1r=0.9",0.4683
prior_cesd only,ElasticNet,"C=1.0,l1r=0.99",0.4683
prior_cesd only,ElasticNet,"C=5.0,l1r=0.1",0.4683
prior_cesd only,ElasticNet,"C=5.0,l1r=0.5",0.4683
prior_cesd only,ElasticNet,"C=5.0,l1r=0.9",0.4683
prior_cesd only,ElasticNet,"C=5.0,l1r=0.99",0.4683
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4449
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4449
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.4351
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.4351
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4449
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4449
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.4351
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.4351
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4449
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4449
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.4351
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.4351
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4429
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4429
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.4718
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.4718
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4429
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4429
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.4759
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.4759
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4429
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4429
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.458
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.458
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.4388
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.4388
prior_cesd only,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.4588
