phenotype,group,n_train,n_train_worsening,n_test,n_test_worsening,specific_BalAcc,global_BalAcc,specific_SensW,global_SensW,delta_BalAcc,delta_SensW
level_cluster,0,908,87,312,27,0.852,0.825,0.889,0.815,0.028,0.074
level_cluster,1,288,32,99,10,0.656,0.858,0.5,0.9,-0.201,-0.4
delta_cluster,0,330,33,113,16,0.709,0.817,0.75,0.812,-0.108,-0.062
delta_cluster,1,866,86,298,21,0.812,0.842,0.762,0.857,-0.03,-0.095
deviation_cluster,0,364,35,126,16,0.702,0.761,0.562,0.688,-0.058,-0.125
deviation_cluster,1,832,84,285,21,0.85,0.89,0.81,0.952,-0.039,-0.143
cesd_severity,minimal,837,86,303,29,0.751,0.828,0.655,0.828,-0.077,-0.172
cesd_severity,mild+,359,33,108,8,0.666,0.726,0.875,0.875,-0.06,0.0
reactivity_cluster,0,581,56,198,16,0.812,0.837,0.75,0.75,-0.026,0.0
reactivity_cluster,1,615,63,213,21,0.775,0.839,0.714,0.905,-0.065,-0.19
