phenotype,group,n,n_worsening,AUC,BalAcc,SensW,FPR_W,false_alarms,misses
level_cluster,0,312,27,0.902,0.825,0.815,0.147,42,5
level_cluster,1,99,10,0.925,0.858,0.9,0.157,14,1
delta_cluster,0,113,16,0.891,0.817,0.812,0.113,11,3
delta_cluster,1,298,21,0.912,0.842,0.857,0.162,45,3
deviation_cluster,0,126,16,0.88,0.761,0.688,0.118,13,5
deviation_cluster,1,285,21,0.919,0.89,0.952,0.163,43,1
cesd_severity,0,303,29,,0.828,0.828,0.172,47,5
cesd_severity,1,38,8,0.745,0.572,0.875,0.3,9,1
cesd_severity,2,70,0,,0.724,0.0,0.0,0,0
reactivity_cluster,0,198,16,0.883,0.837,0.75,0.126,23,4
reactivity_cluster,1,213,21,0.919,0.839,0.905,0.172,33,2
