class,feature,coefficient,abs_coefficient
improving,prior_cesd,0.13846073482076096,0.13846073482076096
improving,active_day_ratio_delta,0.0,0.0
improving,mean_daily_overnight_ratio,0.0,0.0
improving,mean_daily_overnight_ratio_delta,0.0,0.0
improving,mean_daily_social_ratio,0.0,0.0
improving,mean_daily_social_ratio_delta,0.0,0.0
improving,age,0.0,0.0
improving,mean_daily_screens,0.0,0.0
improving,mean_daily_screens_delta,0.0,0.0
improving,mean_daily_unique_apps,0.0,0.0
improving,mean_daily_unique_apps_delta,0.0,0.0
improving,mean_daily_switches,0.0,0.0
improving,mean_daily_switches_delta,0.0,0.0
improving,switches_per_screen,0.0,0.0
improving,switches_per_screen_delta,0.0,0.0
improving,mean_daily_social_screens,0.0,0.0
improving,mean_daily_social_screens_delta,-0.041009846126153784,0.041009846126153784
improving,clip_dispersion,0.0,0.0
improving,clip_dispersion_delta,-0.003979298242674433,0.003979298242674433
improving,gender_mode_1,0.0,0.0
improving,gender_mode_2,0.0,0.0
improving,lag_prior_cesd,0.0,0.0
improving,lag_active_day_ratio_delta,0.0,0.0
improving,lag_mean_daily_overnight_ratio,0.0,0.0
improving,lag_mean_daily_overnight_ratio_delta,0.0,0.0
improving,lag_mean_daily_social_ratio,0.0,0.0
improving,lag_mean_daily_social_ratio_delta,0.0,0.0
improving,lag_age,0.0,0.0
improving,lag_mean_daily_screens,0.0,0.0
improving,lag_mean_daily_screens_delta,0.05720260557513125,0.05720260557513125
improving,lag_mean_daily_unique_apps,0.0,0.0
improving,lag_mean_daily_unique_apps_delta,0.03766363459416343,0.03766363459416343
improving,lag_mean_daily_switches,0.0,0.0
improving,lag_mean_daily_switches_delta,-0.019714661053766323,0.019714661053766323
improving,lag_switches_per_screen,0.0,0.0
improving,lag_switches_per_screen_delta,0.0,0.0
improving,lag_mean_daily_social_screens,0.0,0.0
improving,lag_mean_daily_social_screens_delta,0.011080665234188143,0.011080665234188143
improving,lag_clip_dispersion,0.0,0.0
improving,lag_clip_dispersion_delta,0.1379690184445782,0.1379690184445782
improving,lag_gender_mode_1,0.0,0.0
improving,lag_gender_mode_2,0.07723515717732948,0.07723515717732948
improving,lag_cesd_delta,0.027556453068204482,0.027556453068204482
stable,prior_cesd,-0.02312902033414517,0.02312902033414517
stable,active_day_ratio_delta,0.0,0.0
stable,mean_daily_overnight_ratio,0.0,0.0
stable,mean_daily_overnight_ratio_delta,0.0,0.0
stable,mean_daily_social_ratio,0.0,0.0
stable,mean_daily_social_ratio_delta,0.0,0.0
stable,age,0.0,0.0
stable,mean_daily_screens,0.10809102132257381,0.10809102132257381
stable,mean_daily_screens_delta,0.0,0.0
stable,mean_daily_unique_apps,0.0,0.0
stable,mean_daily_unique_apps_delta,0.0,0.0
stable,mean_daily_switches,0.0,0.0
stable,mean_daily_switches_delta,-0.1072496473606815,0.1072496473606815
stable,switches_per_screen,-0.03277820474715869,0.03277820474715869
stable,switches_per_screen_delta,0.0,0.0
stable,mean_daily_social_screens,0.0,0.0
stable,mean_daily_social_screens_delta,0.0,0.0
stable,clip_dispersion,0.0,0.0
stable,clip_dispersion_delta,0.0,0.0
stable,gender_mode_1,0.0,0.0
stable,gender_mode_2,0.0,0.0
