C,l1_ratio,val_bacc,val_f1_worse
0.1,0.9,0.7059082892416226,0.4081632653061224
0.1,0.99,0.7059082892416226,0.404040404040404
0.01,0.1,0.6984420928865372,0.39583333333333337
0.05,0.9,0.697148736037625,0.3789473684210526
0.05,0.5,0.696384479717813,0.38775510204081637
0.005,0.1,0.6909758965314521,0.391304347826087
0.05,0.99,0.6876249265138155,0.3617021276595745
0.01,0.99,0.6806878306878307,0.38709677419354843
0.01,0.9,0.6806878306878307,0.38709677419354843
0.01,0.5,0.6806878306878307,0.38709677419354843
0.005,0.5,0.6806878306878307,0.38709677419354843
0.005,0.99,0.6786302175191063,0.38297872340425526
0.005,0.9,0.6786302175191063,0.3789473684210526
0.1,0.5,0.6768371546149323,0.38000000000000006
0.05,0.1,0.6750440917107584,0.38834951456310673
0.001,0.1,0.6724573780129335,0.391304347826087
0.001,0.5,0.655731922398589,0.35416666666666663
0.5,0.9,0.6498236331569665,0.36
0.5,0.99,0.6487948265726043,0.35643564356435636
0.1,0.1,0.6477660199882421,0.3529411764705882
0.001,0.9,0.6444150499706055,0.3008849557522124
0.5,0.5,0.6392710170487949,0.34343434343434337
0.001,0.99,0.6382422104644326,0.288135593220339
1.0,0.9,0.6289829512051734,0.34
1.0,0.99,0.6289829512051734,0.34
5.0,0.5,0.6238389182833627,0.3238095238095238
5.0,0.1,0.6228101116990006,0.3238095238095238
1.0,0.5,0.6184303350970017,0.32
0.5,0.1,0.6174015285126396,0.31683168316831684
1.0,0.1,0.6163727219282774,0.3137254901960784
5.0,0.9,0.6153439153439153,0.3106796116504854
5.0,0.99,0.6153439153439153,0.3106796116504854
