feature,importance
prior_cesd,370
lag_prior_cesd,110
mean_daily_overnight_ratio_delta,81
lag_cesd_delta,72
switches_per_screen_delta,66
lag_clip_dispersion_delta,47
lag_mean_daily_screens,46
lag_switches_per_screen_delta,45
mean_daily_overnight_ratio,42
mean_daily_screens,38
mean_daily_social_ratio_delta,37
mean_daily_social_screens_delta,33
lag_mean_daily_unique_apps_delta,30
lag_mean_daily_social_screens_delta,27
lag_mean_daily_overnight_ratio_delta,27
lag_mean_daily_switches_delta,26
lag_switches_per_screen,25
mean_daily_social_screens,24
switches_per_screen,23
mean_daily_screens_delta,22
lag_mean_daily_social_screens,21
age,20
lag_mean_daily_social_ratio,18
clip_dispersion_delta,18
clip_dispersion,17
lag_clip_dispersion,17
lag_mean_daily_overnight_ratio,17
lag_mean_daily_social_ratio_delta,16
mean_daily_switches,15
lag_mean_daily_switches,15
mean_daily_unique_apps,14
mean_daily_unique_apps_delta,14
mean_daily_social_ratio,12
lag_mean_daily_unique_apps,10
mean_daily_switches_delta,7
lag_mean_daily_screens_delta,6
lag_age,3
gender_mode_2,2
lag_gender_mode_1,1
lag_gender_mode_2,1
active_day_ratio_delta,0
gender_mode_1,0
lag_active_day_ratio_delta,0
