n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
100,3,0.05,63,30,0.8,0.8,0.1,0.1,0.7404174015285127,0.32704402515723274
100,3,0.1,63,20,1.0,1.0,0.1,1.0,0.7360376249265138,0.37037037037037035
100,3,0.05,63,10,0.8,1.0,0.1,0.1,0.7332157554379776,0.33333333333333337
100,-1,0.05,15,10,0.8,0.8,0.0,0.1,0.7323927101704878,0.35514018691588783
100,-1,0.05,15,30,0.8,0.8,0.1,0.1,0.7293062904174015,0.35514018691588783
100,3,0.05,63,30,0.8,0.8,0.0,0.1,0.728835978835979,0.3125
100,3,0.1,15,30,0.8,0.8,0.0,1.0,0.7285714285714286,0.3404255319148936
100,3,0.1,63,30,0.8,1.0,0.0,0.1,0.7272780717225161,0.34328358208955223
100,3,0.1,63,30,1.0,1.0,0.0,0.1,0.7272780717225161,0.34328358208955223
100,-1,0.1,15,10,0.8,1.0,0.1,1.0,0.7267195767195768,0.4303797468354431
100,3,0.05,15,20,1.0,1.0,0.0,1.0,0.7262786596119929,0.31952662721893493
100,3,0.05,63,30,0.8,0.8,0.1,1.0,0.7257495590828924,0.31055900621118016
100,3,0.1,63,20,0.8,1.0,0.1,0.1,0.723427395649618,0.34782608695652173
100,5,0.1,31,20,1.0,1.0,0.0,1.0,0.7213109935332157,0.3809523809523809
100,3,0.1,63,20,0.8,1.0,0.0,0.1,0.7211052322163433,0.3333333333333333
100,-1,0.05,15,30,0.8,1.0,0.1,0.1,0.7210758377425043,0.3619047619047619
100,-1,0.05,15,10,0.8,0.8,0.1,1.0,0.7203115814226925,0.3669724770642202
100,5,0.05,15,30,0.8,1.0,0.0,1.0,0.7195473251028807,0.34426229508196726
100,3,0.05,31,30,0.8,1.0,0.1,0.1,0.7193121693121695,0.3018867924528301
100,3,0.05,31,20,1.0,1.0,0.1,1.0,0.7177836566725455,0.311377245508982
100,-1,0.05,31,30,1.0,0.8,0.0,0.1,0.7171957671957672,0.4050632911392405
100,-1,0.05,15,30,0.8,0.8,0.1,1.0,0.7169606114050557,0.3518518518518518
100,3,0.05,15,20,1.0,0.8,0.1,0.1,0.7164902998236332,0.3125
100,3,0.05,63,20,1.0,0.8,0.1,0.1,0.7164902998236332,0.3125
100,5,0.1,31,30,0.8,1.0,0.0,1.0,0.7164315108759554,0.3655913978494624
100,5,0.1,31,30,1.0,1.0,0.0,1.0,0.7164315108759554,0.3655913978494624
100,5,0.05,15,20,0.8,0.8,0.0,1.0,0.7151675485008818,0.3389830508474576
300,3,0.05,15,20,1.0,1.0,0.1,1.0,0.7113168724279836,0.3652173913043478
300,3,0.05,63,20,0.8,0.8,0.0,0.1,0.710787771898883,0.3486238532110092
100,3,0.05,15,30,1.0,1.0,0.1,1.0,0.71005291005291,0.2874251497005988
100,-1,0.05,31,30,1.0,0.8,0.0,1.0,0.7092298647854203,0.35789473684210527
100,5,0.1,31,20,0.8,1.0,0.1,1.0,0.7087007642563198,0.3614457831325301
100,5,0.1,31,20,1.0,1.0,0.1,1.0,0.7087007642563198,0.3614457831325301
100,-1,0.05,31,20,1.0,0.8,0.1,0.1,0.7087007642563198,0.37037037037037035
100,3,0.1,31,30,0.8,1.0,0.0,1.0,0.7084950029394474,0.3211678832116789
100,3,0.1,31,30,1.0,1.0,0.0,1.0,0.7084950029394474,0.3211678832116789
100,-1,0.05,63,30,1.0,0.8,0.1,1.0,0.707172251616696,0.35416666666666663
100,5,0.05,15,10,0.8,0.8,0.1,1.0,0.7069370958259847,0.3361344537815126
