C,gamma,kernel,val_bacc,val_f1_worse
5.0,0.001,rbf,0.674779541446208,0.3762376237623762
10.0,0.001,rbf,0.6498236331569665,0.3428571428571428
0.5,0.01,rbf,0.6413286302175192,0.3148148148148148
1.0,0.01,rbf,0.6374779541446208,0.34951456310679613
0.1,0.01,rbf,0.6246031746031745,0.3076923076923077
1.0,0.001,rbf,0.6240740740740741,0.31111111111111106
0.1,scale,rbf,0.6192239858906525,0.304
0.1,auto,rbf,0.6192239858906525,0.304
0.5,0.001,rbf,0.592416225749559,0.26506024096385544
0.5,auto,rbf,0.5818930041152264,0.28
0.5,scale,rbf,0.5818930041152264,0.28
1.0,scale,rbf,0.5721046443268666,0.2580645161290323
1.0,auto,rbf,0.5721046443268666,0.2580645161290323
5.0,0.01,rbf,0.5368606701940035,0.21782178217821782
10.0,0.01,rbf,0.5175485008818342,0.1739130434782609
5.0,auto,poly,0.5144620811287478,0.20253164556962025
5.0,scale,poly,0.5144620811287478,0.20253164556962025
10.0,auto,poly,0.488477366255144,0.16867469879518074
10.0,scale,poly,0.488477366255144,0.16867469879518074
1.0,auto,poly,0.48436213991769544,0.21212121212121215
1.0,scale,poly,0.48436213991769544,0.21212121212121215
5.0,scale,rbf,0.4791887125220458,0.08333333333333334
5.0,auto,rbf,0.4791887125220458,0.08333333333333334
10.0,scale,rbf,0.4781599059376837,0.09375
10.0,auto,rbf,0.4781599059376837,0.09375
10.0,0.01,poly,0.47380952380952385,0.1791044776119403
0.5,auto,poly,0.44138741916519697,0.12903225806451613
0.5,scale,poly,0.44138741916519697,0.12903225806451613
5.0,0.01,poly,0.4334215167548501,0.16129032258064516
0.1,scale,poly,0.3757789535567313,0.04545454545454545
0.1,auto,poly,0.3757789535567313,0.04545454545454545
1.0,0.01,poly,0.36857730746619627,0.04761904761904761
0.5,0.01,poly,0.36137566137566135,0.048780487804878044
0.1,0.01,poly,0.3490299823633156,0.05263157894736842
5.0,0.001,poly,0.33641975308641975,0.0
0.1,0.001,poly,0.3333333333333333,0.0
1.0,0.001,poly,0.3333333333333333,0.0
0.5,0.001,poly,0.3333333333333333,0.0
10.0,0.001,poly,0.3333333333333333,0.0
0.1,0.001,rbf,0.3323045267489712,0.0
