pid,r_screens,r_switches,reactivity_cluster,n_train_obs,feature_mean_daily_screens,feature_switches_per_screen
1017,0.2663504872501513,0.3951140066740437,1,14,mean_daily_screens,switches_per_screen
1030,0.3054935314510727,-0.17650479830856708,0,14,mean_daily_screens,switches_per_screen
1111,0.36397828427292905,0.017150813705860423,0,13,mean_daily_screens,switches_per_screen
1234,0.29224768174574883,0.19010128852540267,0,14,mean_daily_screens,switches_per_screen
1257,-0.03023060785314213,0.048337837553882206,1,13,mean_daily_screens,switches_per_screen
1261,0.10920325710517445,-0.33257331971418436,0,13,mean_daily_screens,switches_per_screen
1292,-0.09333981444713962,0.020248934251206215,1,11,mean_daily_screens,switches_per_screen
1301,-0.25548982908821566,0.14902360983841467,1,14,mean_daily_screens,switches_per_screen
1389,-0.16669417294951905,-0.026844879237658048,1,14,mean_daily_screens,switches_per_screen
1487,-0.43264100044999076,-0.10949241851038011,1,14,mean_daily_screens,switches_per_screen
1490,0.17006430745090498,0.08331825599592045,0,15,mean_daily_screens,switches_per_screen
1515,-0.020763466497771086,0.4758231157071086,1,11,mean_daily_screens,switches_per_screen
1551,0.5592924775711073,-0.41037356532767905,0,15,mean_daily_screens,switches_per_screen
1693,-0.24776163646270302,-0.15422830811548233,1,6,mean_daily_screens,switches_per_screen
2044,-0.1683667112428036,-0.09963770299993156,1,15,mean_daily_screens,switches_per_screen
2122,-0.04834019039479981,0.12494716415080911,1,12,mean_daily_screens,switches_per_screen
2177,-0.11703141584194054,-0.11003751351326953,1,14,mean_daily_screens,switches_per_screen
2204,0.08073337603179107,0.11580025059917978,1,15,mean_daily_screens,switches_per_screen
2298,0.2568312208269456,-0.3484956914682432,0,13,mean_daily_screens,switches_per_screen
2403,-0.38837308014516997,0.4952740252475259,1,12,mean_daily_screens,switches_per_screen
2410,-0.15098222649532442,-0.06378934850962023,1,14,mean_daily_screens,switches_per_screen
2456,0.1215308426191449,0.04925255714057735,0,15,mean_daily_screens,switches_per_screen
2591,0.4219097300350275,-0.35878320847305967,0,11,mean_daily_screens,switches_per_screen
2693,0.04578782778476668,-0.27773336087799305,0,14,mean_daily_screens,switches_per_screen
2720,0.4485411521468846,-0.13992184307373232,0,10,mean_daily_screens,switches_per_screen
2938,-0.10324091502415893,0.1515209914524788,1,11,mean_daily_screens,switches_per_screen
3022,-0.3738320341704303,0.1943054181591687,1,12,mean_daily_screens,switches_per_screen
3071,0.3998322784736853,0.1608131103222194,0,14,mean_daily_screens,switches_per_screen
3120,0.09833876156554673,0.251190415933767,1,14,mean_daily_screens,switches_per_screen
3173,0.38570420344652906,-0.24135595310770808,0,14,mean_daily_screens,switches_per_screen
3309,0.2186621017003945,-0.12049542834414864,0,13,mean_daily_screens,switches_per_screen
3794,0.22528431831520435,-2.9564913419593273e-17,0,7,mean_daily_screens,switches_per_screen
3860,0.048558385120536306,0.013415765821806404,1,11,mean_daily_screens,switches_per_screen
4035,-0.142367597732947,0.1686230042459977,1,15,mean_daily_screens,switches_per_screen
4140,-0.2773979861165069,-0.10627972875777944,1,12,mean_daily_screens,switches_per_screen
4170,-0.25426291758198216,0.0010647592213926227,1,7,mean_daily_screens,switches_per_screen
4177,-0.43268561915560116,-0.32626168146664497,1,14,mean_daily_screens,switches_per_screen
4365,0.16110075393979967,-0.6282377226561814,0,10,mean_daily_screens,switches_per_screen
4406,0.17153149825768038,0.09449848678367768,0,14,mean_daily_screens,switches_per_screen
4460,-0.20764258451204018,-0.39951521225804504,0,14,mean_daily_screens,switches_per_screen
4674,0.16184955109402607,-0.09074713576352673,0,11,mean_daily_screens,switches_per_screen
