alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,4.6948301916923585,6.9138287961523375,4.599622253434785,6.598512539555444,21,204,6.357479627960486
0.0001,0.5,4.6950853738306355,6.913813429272222,4.6005433548457235,6.599453509743281,21,180,6.374149702115492
0.0001,0.7,4.69521837219538,6.91380767522935,4.601023613990352,6.599946221686345,21,175,6.382447678873791
0.0001,0.9,4.695355195033118,6.9138033901887725,4.601518001785401,6.600454964584927,21,171,6.390707436188882
0.0001,0.95,4.695390019363328,6.913802566700792,4.6016438357084395,6.600584728232817,21,171,6.392771272740284
0.0001,0.99,4.6954180666768535,6.91380198308279,4.601745254330546,6.600689364632405,21,170,6.3944133319692344
0.0005,0.1,4.6933459607516825,6.9142577537550025,4.591490646704211,6.589741399876289,21,168,6.165640014662639
0.0005,0.5,4.693679824976102,6.914060570900052,4.594174733714326,6.592730985074709,21,148,6.249370019451056
0.0005,0.7,4.693956903141767,6.9139731241219335,4.595964419613653,6.594504504764686,21,146,6.292735944619294
0.0005,0.9,4.694312790311296,6.913898504512849,4.597985433521739,6.596526610295802,21,144,6.336742418201881
0.0005,0.95,4.694427278930453,6.913882622154137,4.598533552874245,6.597078651709866,21,144,6.347806539223392
0.0005,0.99,4.694531022152913,6.913870911532151,4.59898601730129,6.597535523451421,21,144,6.356657666345188
0.001,0.1,4.692528940264411,6.91502017792581,4.585312910042182,6.582616560960288,21,148,5.936822265926966
0.001,0.5,4.693044881132858,6.914574454694373,4.588830052041621,6.586491070661984,21,132,6.090475227829701
0.001,0.7,4.693356342525971,6.91435970411681,4.591065511754303,6.589008502804342,21,131,6.175515931751652
0.001,0.9,4.693683581293377,6.914154121425488,4.593992466688581,6.592245170317908,20,126,6.259015076454581
0.001,0.95,4.6937719733576335,6.914105143129084,4.594967789088602,6.59320749656118,20,126,6.279102714522772
0.001,0.99,4.693852519184923,6.914067746585004,4.595790634832891,6.59402221554185,20,126,6.295441766055874
0.005,0.1,4.693657716024495,6.921212116978363,4.567978246176409,6.562043758431003,21,86,4.737093568720771
0.005,0.5,4.69219146132998,6.919758997764897,4.571435425362793,6.5653036263772755,20,82,5.000671006031592
0.005,0.7,4.6912358280930455,6.918825049017981,4.574041539678841,6.567970850998896,19,86,5.168077349420198
0.005,0.9,4.690831519690403,6.917738975044853,4.577702967287029,6.572019676646096,19,92,5.384281743981911
0.005,0.95,4.690824353665952,6.917427322977524,4.578961332366524,6.573452663682911,19,94,5.448473969102003
0.005,0.99,4.690846004235424,6.917158304544541,4.580153088912119,6.574814333903481,19,96,5.503448418843934
0.01,0.1,4.6967553776099535,6.926958867650009,4.559376974455867,6.554568111082378,20,58,4.034893090084631
0.01,0.5,4.69508921689464,6.925296874964664,4.562207414781986,6.5562351024891905,18,59,4.212767360253982
0.01,0.7,4.693970091666943,6.924325459562956,4.564149466742408,6.5574630392684465,18,68,4.338354426677446
0.01,0.9,4.692716939531408,6.923193625728975,4.567068049347773,6.559643892031792,17,79,4.517697242979292
0.01,0.95,4.692374723192918,6.9228194082001995,4.568291003962359,6.560636125245893,17,83,4.575421136163601
0.01,0.99,4.69207798873715,6.922516334625363,4.56937554854064,6.561514271419971,17,86,4.626392664469457
0.05,0.1,4.7035001297828485,6.943700855528639,4.538371247994397,6.542064304995503,19,19,2.857473634229319
0.05,0.5,4.705282323880894,6.947488424221426,4.536048598480113,6.543627706211875,15,21,2.6977587098501057
0.05,0.7,4.706306775764455,6.949229249164523,4.5346504528880365,6.542617185789723,13,22,2.681926319316324
0.05,0.9,4.707494485196043,6.951614851024653,4.532014933693141,6.540347550511712,11,11,2.66602447506814
0.05,0.95,4.70803564546174,6.952560079960541,4.530902221491727,6.539408674182987,11,11,2.6620710506096352
0.05,0.99,4.708657918157614,6.953554020043914,4.529768955695273,6.538439327540046,11,11,2.658976296655831
0.1,0.1,4.704900916511503,6.950015722501664,4.5302976466691876,6.5365503701235195,17,18,2.656399270680096
0.1,0.5,4.708346934401216,6.957839060259847,4.525006994538758,6.533111678252439,11,10,2.619602968296008
0.1,0.7,4.708897371846531,6.960816826229241,4.524796585773429,6.532798015626946,9,9,2.5865740551474548
0.1,0.9,4.709297763716854,6.9633656796104395,4.523746809163643,6.531783126416622,8,7,2.5520019251529056
0.1,0.95,4.709494509282059,6.9640134398108735,4.52319646081856,6.531216561963903,8,7,2.5431206811355596
0.1,0.99,4.709675646437534,6.964562847616473,4.522744789855206,6.530778999697717,8,7,2.535770453746453
0.5,0.1,4.704615588758298,6.971532062200965,4.523020033249011,6.5280700355692325,12,9,2.495573228788556
0.5,0.5,4.7153692239067135,6.995249695175547,4.536031993383996,6.5365595292291685,5,6,2.4104547234160525
0.5,0.7,4.719317352105603,7.0060593700521965,4.547974689337857,6.542778879612037,3,4,2.393373841229231
0.5,0.9,4.723377261303066,7.015727028121874,4.561071978034257,6.551637538982919,2,4,2.374035688298831
0.5,0.95,4.724534005763846,7.017074503631939,4.562780284566915,6.552510349433476,1,2,2.368323822049214
0.5,0.99,4.724309323832917,7.017082348663515,4.562420486891792,6.552300422527586,1,2,2.366912972242991
1.0,0.1,4.708727443442045,6.986144883189633,4.527640742807393,6.5299165349629265,8,6,2.432774591086023
1.0,0.5,4.722840283396559,7.017139966785558,4.560068017641247,6.550934585597716,1,2,2.357688396833639
1.0,0.7,4.720595748729653,7.017249188717529,4.556473699435295,6.548870294531018,1,2,2.3435942447726377
1.0,0.9,4.7183448756252995,7.017384438833459,4.55286923108043,6.546827583488237,1,2,2.329460291632814
1.0,0.95,4.717781163820873,7.017422343798748,4.552005041420664,6.546320304959722,1,2,2.325920564665213
1.0,0.99,4.717339270242737,7.017453851152086,4.551321981757418,6.545915466218591,1,2,2.3230869826696177
5.0,0.1,4.712082480208045,7.017915547843126,4.543081121229696,6.541118357989786,1,2,2.288900870861159
5.0,0.5,4.69207756353499,7.0213687726680325,4.510246533326773,6.523188356264855,1,2,2.1491568592220824
5.0,0.7,4.682713573169286,7.0241008504643,4.493988812425638,6.515080707663967,1,2,2.077819477788812
5.0,0.9,4.673584234477092,7.0275394637132775,4.477502183580406,6.507584130955808,1,2,2.005477669386945
5.0,0.95,4.671477552019782,7.02851281208819,4.4734734802094165,6.505809085835558,1,2,1.9872327852412401
5.0,0.99,4.669845660124129,7.029324859850515,4.470284791837466,6.504418278130886,1,2,1.9725904912927108
10.0,0.1,4.695438715916709,7.020560578650313,4.515986577608718,6.526220026439948,1,2,2.174343644680817
10.0,0.5,4.661364962587701,7.0339875257639415,4.453713656401067,6.497675002426972,1,2,1.8964966847435698
10.0,0.7,4.645864705987995,7.044896656647568,4.423700137526042,6.487101569439533,1,2,1.7518065887253655
10.0,0.9,4.6332468889539795,7.058892353347432,4.393834635256279,6.479316374945894,1,2,1.603056324983732
10.0,0.95,4.630309715052611,7.062900730285627,4.386236851918694,6.477836296571437,1,2,1.565214260078577
10.0,0.99,4.628132092752757,7.0662593921716566,4.380449122099332,6.476792427716101,1,2,1.5347482532683463
50.0,0.1,4.6229957034792335,7.075379255783031,4.366465387425288,6.474723059537416,1,2,1.4568531420208553
50.0,0.5,4.648811898506868,7.339559543178646,4.288858049673944,6.568311384512891,1,2,0.1482860953137124
50.0,0.7,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
50.0,0.9,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
50.0,0.95,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
50.0,0.99,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.1,4.6140700691619445,7.167650465758888,4.301436936782754,6.486632190048192,1,2,0.8737330079943996
100.0,0.5,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.7,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.9,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.95,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.99,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
