alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,4.68072939484819,6.878723938890386,4.602650771257278,6.61052940050058,38,4865,6.384058000316901
0.0001,0.5,4.680835819834819,6.878629288511656,4.603096632868403,6.610715682655821,38,4242,6.411903120240355
0.0001,0.7,4.680813439329686,6.878574993376761,4.603259275464679,6.610765382888491,38,4163,6.4269079069620325
0.0001,0.9,4.680702388953465,6.87851905787106,4.603350892262025,6.6107595120880225,38,4131,6.443173752970646
0.0001,0.95,4.680745204453684,6.87850596110212,4.603356971794495,6.610745254684194,38,4129,6.4475250305841
0.0001,0.99,4.680799044724892,6.878496234096154,4.603355314777273,6.610728990487219,38,4129,6.451113883831831
0.0005,0.1,4.678147964324218,6.879687075021751,4.597746032789991,6.608015590741537,38,2972,6.095243879720115
0.0005,0.5,4.678952061875774,6.879391483286679,4.600530165679828,6.610022959893467,37,2754,6.192019704445461
0.0005,0.7,4.679426336926921,6.879248498712005,4.602023206488422,6.611033359100709,37,2830,6.244952654566701
0.0005,0.9,4.679860113974462,6.879078285021352,4.6035077915281555,6.612016715417763,38,2981,6.302391139107636
0.0005,0.95,4.6799115989809,6.87901619000248,4.603844263173553,6.612236628606374,38,3031,6.3180175931881815
0.0005,0.99,4.67990744974584,6.878953600645198,4.604081375776142,6.612385136005844,38,3080,6.331184623792794
0.001,0.1,4.6758469877521565,6.880949185979582,4.592410242492269,6.604739342065331,38,2043,5.8129682100388385
0.001,0.5,4.6765591056192095,6.880368203988414,4.5969803949931105,6.608681950550133,37,1977,5.963076691964779
0.001,0.7,4.677105246431609,6.880078816139216,4.599903565582337,6.611011761974906,37,2107,6.0506088604996675
0.001,0.9,4.677855357189565,6.879799736876124,4.603390211788929,6.61372299025732,37,2318,6.149369182309136
0.001,0.95,4.678096901325359,6.879732835092869,4.6043611323956775,6.61445833539993,37,2387,6.17615435041855
0.001,0.99,4.678301663025478,6.879680209521415,4.605163817915114,6.61505608471845,37,2447,6.1982545389900325
0.005,0.1,4.674906349023942,6.88929728401787,4.5752980621411625,6.592300998352613,35,494,4.6345001899292955
0.005,0.5,4.674665424317439,6.888143293190931,4.57739889375152,6.5935444768627915,33,113,4.828548438221826
0.005,0.7,4.674504284735279,6.887200037290904,4.579151955590726,6.594355862865907,32,109,4.988978679220751
0.005,0.9,4.674212730672627,6.88619901432372,4.582275181470454,6.597473761047672,31,135,5.220835464174939
0.005,0.95,4.674125092234349,6.885931590832721,4.583222863761595,6.5985558994625775,31,164,5.292523475906875
0.005,0.99,4.674050338177322,6.885709971257088,4.584057130516239,6.599539962073242,31,213,5.354855741886544
0.01,0.1,4.678066387449068,6.895795608515314,4.567774912916667,6.585815604804854,34,163,4.018854644564886
0.01,0.5,4.6767784153310386,6.894631061377803,4.567425412006105,6.584140561074882,32,115,4.209980816395918
0.01,0.7,4.675949010924494,6.894058321051401,4.569056004473843,6.5841022605556825,29,115,4.315145624327493
0.01,0.9,4.674983443556436,6.893167149167963,4.572782765791007,6.587230998817481,26,148,4.546240266405472
0.01,0.95,4.674775303867316,6.892794789590677,4.574093488972528,6.588467554949704,25,118,4.611363168581846
0.01,0.99,4.674692958589699,6.892482786144328,4.57529239597783,6.58958498417046,25,108,4.665854750181688
0.05,0.1,4.688513014544954,6.91761683088505,4.553175520919722,6.574482283193174,31,52,2.880512459906394
0.05,0.5,4.694025954399567,6.92515046692079,4.553233074386181,6.574238949363582,22,52,2.6894457155133003
0.05,0.7,4.697289695304125,6.929098003126495,4.552964440654961,6.573216343993754,21,56,2.6801786866054473
0.05,0.9,4.70157610958378,6.934484218901241,4.552646373998165,6.571758936954637,19,36,2.670513224981603
0.05,0.95,4.702122967845225,6.935632943151425,4.551923475020778,6.570824322009316,19,25,2.666666736891
0.05,0.99,4.702751091821002,6.9367239202846624,4.551132131005143,6.569864790744397,18,22,2.6636372220574063
0.1,0.1,4.693361415422688,6.928198846982676,4.548079424034213,6.568675639984902,29,39,2.6615592319720536
