feature,coefficient,abs_coefficient
prior_cesd,-0.5017581988684215,0.5017581988684215
person_mean_cesd,0.4470007621406715,0.4470007621406715
mean_daily_overnight_ratio,0.0,0.0
lag_active_day_ratio_delta,-0.0,0.0
lag_mean_daily_overnight_ratio_delta,-0.0,0.0
lag_mean_daily_social_ratio,0.0,0.0
lag_mean_daily_social_ratio_delta,0.0,0.0
lag_mean_daily_screens,0.0,0.0
lag_mean_daily_screens_delta,0.0,0.0
lag_mean_daily_unique_apps,-0.0,0.0
lag_mean_daily_unique_apps_delta,-0.0,0.0
lag_mean_daily_switches,-0.0,0.0
lag_mean_daily_switches_delta,-0.0,0.0
lag_switches_per_screen,0.0,0.0
lag_switches_per_screen_delta,0.0,0.0
lag_mean_daily_social_screens,0.0,0.0
lag_mean_daily_social_screens_delta,0.0,0.0
lag_clip_dispersion,-0.0,0.0
lag_clip_dispersion_delta,-0.0,0.0
lag_mean_daily_overnight_ratio,-0.0,0.0
gender_mode_2,0.0,0.0
mean_daily_overnight_ratio_delta,0.0,0.0
active_day_ratio_delta,0.0,0.0
mean_daily_social_ratio,0.0,0.0
mean_daily_social_ratio_delta,-0.0,0.0
age,-0.0,0.0
mean_daily_screens,0.0,0.0
mean_daily_screens_delta,-0.0,0.0
mean_daily_unique_apps,-0.0,0.0
mean_daily_unique_apps_delta,0.0,0.0
mean_daily_switches,0.0,0.0
mean_daily_switches_delta,0.0,0.0
switches_per_screen,0.0,0.0
switches_per_screen_delta,0.0,0.0
mean_daily_social_screens,0.0,0.0
mean_daily_social_screens_delta,0.0,0.0
clip_dispersion,0.0,0.0
clip_dispersion_delta,0.0,0.0
gender_mode_1,-0.0,0.0
