alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,3.757943339816207,5.634005869293488,4.059093195593342,5.859985254086177,39,4693,1.706841167903851
0.0001,0.5,3.7584906352239447,5.633914565712338,4.059028261862197,5.859038457057402,39,4035,1.7188769144405307
0.0001,0.7,3.758770719601715,5.63387127873618,4.058937088823797,5.858482997787441,39,3933,1.7254657574084322
0.0001,0.9,3.7590465514564713,5.63383308725704,4.058777286889764,5.857847455744107,39,3861,1.7327668303695196
0.0001,0.95,3.75914589690966,5.6338269858827275,4.058742048977385,5.857624532168006,38,3826,1.734188131494165
0.0001,0.99,3.7592314447748114,5.63382291553963,4.058714762973812,5.85743398483175,38,3818,1.7352403046894103
0.0005,0.1,3.753070480967239,5.6353126679280034,4.059238356461139,5.867293782878798,39,2842,1.5612420979838144
0.0005,0.5,3.754247662906756,5.634865402303172,4.059383753946522,5.865774287558209,38,2262,1.6087700262633962
0.0005,0.7,3.7550425852992095,5.634610621989486,4.059379363251376,5.864633302367712,39,2330,1.635044795620141
0.0005,0.9,3.7560234145160982,5.634319697120177,4.059215126703775,5.862981771470788,39,2466,1.6639811197152166
0.0005,0.95,3.756299780592855,5.634251221429811,4.059225798299193,5.8625092452651,38,2529,1.6685867851493228
0.0005,0.99,3.7565249583003117,5.634190077183628,4.059204299127244,5.8620663990838295,39,2603,1.6732082965864108
0.001,0.1,3.750024431413733,5.636778264313629,4.059316352727202,5.87199836234249,39,1936,1.409728408802445
0.001,0.5,3.7511814521633893,5.636193332950158,4.059892403670694,5.871036751300415,39,1863,1.4845599455887233
0.001,0.7,3.7520335087827497,5.635842263037209,4.060258144798541,5.870258464176166,38,1751,1.5297752347317979
0.001,0.9,3.7531081201174126,5.635397791170657,4.060473384076204,5.869030872065109,37,1823,1.5715737186656953
0.001,0.95,3.753433141720833,5.635261003844372,4.0604431616033745,5.868512937456637,37,1850,1.5842873357658847
0.001,0.99,3.7537179619005663,5.635142567550715,4.060400993471084,5.867971122739623,37,1874,1.5974173902986206
0.005,0.1,3.7470847839402057,5.642880439492158,4.061650482428915,5.885533602755291,38,516,0.775912893073229
0.005,0.5,3.7459150942952935,5.642999755613851,4.063105848363373,5.889096200724072,34,81,0.7623360603289954
0.005,0.7,3.745334596325576,5.642866865171966,4.063872858535969,5.890769339550941,33,107,0.7621810012650748
0.005,0.9,3.7446153168645613,5.642680630793799,4.065044602693462,5.893175144980263,32,201,0.7274217730418767
0.005,0.95,3.7444230181012066,5.6426467253371015,4.065432785718823,5.894132797791847,31,269,0.7085198350257607
0.005,0.99,3.744265952267014,5.642614359600945,4.065702468320456,5.894903676714345,31,381,0.696962564648381
0.01,0.1,3.747379990429912,5.646725063185753,4.065115653747526,5.891913836017788,37,203,0.4681251079227601
0.01,0.5,3.745709428691479,5.648246623812605,4.068050248268564,5.898343066391135,33,133,0.28951497860521597
0.01,0.7,3.745139060230665,5.649423545065685,4.070430597283357,5.902851355265748,31,65,0.15136953913547085
0.01,0.9,3.7439177362347515,5.649905679946293,4.073418405782982,5.909281786775524,28,75,0.032674561547778896
0.01,0.95,3.7435149284655744,5.649982198485653,4.074140596889619,5.910899290947673,27,60,-0.0014487909233615037
0.01,0.99,3.7431481451502275,5.649956591413688,4.074261631906058,5.911328043582226,27,60,-0.0027641580472665683
0.05,0.1,3.7471085870884373,5.657942912234545,4.066229896223044,5.900390410727758,34,53,0.01054627935744093
0.05,0.5,3.744282342205077,5.664344746541766,4.059348166302832,5.900512458828898,23,40,-0.0399944042396531
0.05,0.7,3.744779727042358,5.66757092743394,4.055452175404513,5.899861961670074,17,39,-0.05980305477873013
0.05,0.9,3.744050898274171,5.669447022208246,4.053032061609324,5.899429608397724,16,38,-0.06133164190937555
0.05,0.95,3.7438591629899527,5.669980279355557,4.052347843455159,5.899282690371729,16,38,-0.061367387330239206
0.05,0.99,3.743749394771233,5.670426336151798,4.051815912018809,5.899169834224211,15,38,-0.06135833195527958
0.1,0.1,3.7440961995969757,5.663078946157683,4.059126596127218,5.897180316316721,27,43,-0.035681461268095016
0.1,0.5,3.7417941398641923,5.672809414034023,4.048135326327052,5.896265853852764,16,37,-0.05640541392837947
0.1,0.7,3.7413163427646565,5.67613709824311,4.04496512236692,5.896359860702644,11,36,-0.05662925382609334
0.1,0.9,3.740494503674116,5.679592061991284,4.043048173198272,5.897647033623989,11,36,-0.055404624999497123
0.1,0.95,3.740307678121311,5.680616937176978,4.042707355094829,5.898098053859496,11,35,-0.055087461489936373
0.1,0.99,3.7401799586286937,5.681488029071544,4.042554093631086,5.898519488190803,11,35,-0.05483059765219607
0.5,0.1,3.7360104859215357,5.682970513160903,4.026180722780291,5.869449517687511,14,36,-0.018416721809192294
0.5,0.5,3.7362488455007132,5.705628425332212,4.018522506731979,5.8719623820061235,4,32,-0.010814072273519326
0.5,0.7,3.7372307698413483,5.709847903245289,4.022169243868543,5.875256635977866,2,31,-0.005309274978978484
0.5,0.9,3.7372338500302122,5.710086736941001,4.021179651950283,5.8732273125621335,2,31,-0.0025249427775463074
0.5,0.95,3.737229481721876,5.710154804775567,4.020894244401744,5.8726587546577464,2,30,-0.0018233218601327594
0.5,0.99,3.7372300805515244,5.710205187584232,4.020693941626559,5.87225030822697,2,30,-0.0012602217896602874
1.0,0.1,3.7350011288471294,5.698404733380923,4.004826222783226,5.8398727098145695,10,33,0.025995420010136966
1.0,0.5,3.7384978720853272,5.715707486874381,4.005360051676822,5.841335504997654,2,30,0.042160204605437596
1.0,0.7,3.7388514321759825,5.716698564093271,4.003348139719189,5.837350564539806,2,29,0.048259546638880074
1.0,0.9,3.7392396381804316,5.717759891873338,4.001434094760538,5.833389695019766,2,29,0.054518109955357524
1.0,0.95,3.7393426205395315,5.718038563319617,4.000986500046977,5.832394417861726,2,29,0.056107982911793614
1.0,0.99,3.7394254902836064,5.7182654597025255,4.000626444581535,5.831596768143079,2,29,0.057387280320702755
5.0,0.1,3.793339588794809,5.816638054901888,3.946076552224974,5.7236735653505875,2,24,0.3071207148969409
5.0,0.5,3.826203602974405,5.868413685845739,3.9355492878338367,5.715627434829735,2,26,0.39189016631130735
5.0,0.7,3.847195877789494,5.903144080491275,3.9315795260776616,5.716630214763921,2,27,0.44170929197810427
5.0,0.9,3.8719591638086532,5.945852555827817,3.9281791756897984,5.722751187219682,2,28,0.4976784855520704
5.0,0.95,3.8793949372324303,5.958035362333755,3.9279940409320457,5.725298006175243,2,28,0.5127635184775633
5.0,0.99,3.885736235586987,5.96826594635756,3.9279916306809533,5.727677785602228,2,28,0.5251749563372629
10.0,0.1,3.9011614498699396,5.9972987742958415,3.9238134343541007,5.731631615268827,2,20,0.5310338595404783
