alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,4.671434252955572,6.887966127387304,4.550541555569519,6.539264302864024,26,215,8.224588214016197
0.0001,0.5,4.671561069808863,6.887948055615253,4.551289797990384,6.540136780878375,26,190,8.242517566480783
0.0001,0.7,4.671631360005282,6.8879412198557235,4.551683771880391,6.540596572587649,26,185,8.251383298639016
0.0001,0.9,4.671709446896188,6.887936088637057,4.552092163316965,6.541073536686073,26,181,8.260163458351604
0.0001,0.95,4.671730850197192,6.887935096435495,4.552196634732391,6.541195609656086,26,180,8.262342637891072
0.0001,0.99,4.671748097537724,6.887934391221791,4.552280854291271,6.541294062294785,26,180,8.264086716839207
0.0005,0.1,4.6705156216201695,6.888455017937211,4.543988238363888,6.531380301125658,26,177,8.005202181880247
0.0005,0.5,4.670784942460052,6.888232685459478,4.546238376945404,6.533985230732075,26,157,8.098499025640084
0.0005,0.7,4.671024700847752,6.888131738086947,4.547601465146395,6.535560187331201,26,154,8.146102439254397
0.0005,0.9,4.6713018050658315,6.888043300033592,4.5491835318980955,6.53738506634891,26,152,8.193751195946017
0.0005,0.95,4.671378186124032,6.888024035164742,4.549620872289731,6.537889098615239,26,152,8.205592682720063
0.0005,0.99,4.671441643928489,6.888009684866491,4.549984681918323,6.538308266862502,26,152,8.215017577095873
0.001,0.1,4.670865956508846,6.88931208730985,4.539026585984263,6.525333385632741,26,156,7.73822798770136
0.001,0.5,4.670691657127054,6.8888157056076915,4.541713704042237,6.528515029262686,26,140,7.91264929433119
0.001,0.7,4.670707853302285,6.888572202577469,4.543536969812326,6.530637509945595,26,139,8.00762537804989
0.001,0.9,4.670910693188286,6.888339408894385,4.545860274236143,6.533333685337633,26,139,8.107322010180114
0.001,0.95,4.671008939376474,6.888284379007869,4.546550032569774,6.534131208476708,26,140,8.132853076724933
0.001,0.99,4.67109964554243,6.8882417747948885,4.547142820599443,6.534814975520631,26,140,8.153306995030839
0.005,0.1,4.675118539289593,6.8965149463951345,4.526933445626238,6.510630173454678,26,90,6.29806784971456
0.005,0.5,4.673927442126617,6.894818611602672,4.52864916661382,6.511776473577077,26,89,6.6629424285392345
0.005,0.7,4.672883166539623,6.893716256828527,4.530251557144848,6.513315699650643,24,92,6.889044103022965
0.005,0.9,4.671946693834941,6.892456632894964,4.532769869453613,6.515934817826724,24,99,7.176972625880142
0.005,0.95,4.6717548299223015,6.892111054885601,4.533632090050314,6.516906351323003,24,102,7.26289135657847
0.005,0.99,4.671588397841803,6.891821255860118,4.534452787990865,6.517852942297462,24,103,7.335961052994105
0.01,0.1,4.679706116099024,6.90346676697785,4.522247306339743,6.507341272195492,26,61,5.409540065665771
0.01,0.5,4.677916670189892,6.901728460411357,4.524446970116517,6.507623722836183,23,63,5.617566732031805
0.01,0.7,4.676589143063806,6.900545166737825,4.525800685583428,6.5078435150935015,23,72,5.784422868170136
0.01,0.9,4.674970825818321,6.899004646248532,4.5283058940414245,6.5088462165335175,23,86,6.037610418709727
0.01,0.95,4.674514854441748,6.898480188383778,4.5292013045069,6.509365027191601,23,91,6.12825734455187
0.01,0.99,4.674100592804252,6.898033376116283,4.529947791108417,6.509830690827765,23,95,6.211281841988202
