alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,3.7167935762072686,5.573918405931434,3.9965641171636097,5.751093739947984,122,5904,17.510037208258282
0.0001,0.5,3.7162726141743816,5.572785454834814,4.006841641517434,5.763786400264675,122,7944,17.52009835812611
0.0001,0.7,3.7162046370507884,5.572414078259846,4.0123146900419355,5.770700846941554,121,10000,17.742751856390623
0.0001,0.9,3.7163523142079584,5.572183924210708,4.018190693384649,5.7780319291543325,118,10000,17.602007162756447
0.0001,0.95,3.716387041717076,5.572149871506182,4.019424311522528,5.779705266352171,116,10000,17.07824538292633
0.0001,0.99,3.7164421144327275,5.572129227530958,4.020511105872477,5.781075389133599,115,10000,15.041293421674968
0.0005,0.1,3.738974489228317,5.605379198304941,3.9346185507915634,5.684277770431912,122,1206,16.426964713772417
0.0005,0.5,3.725016539862785,5.586337233496571,3.958520474498423,5.707356748914465,121,1652,16.892390886702145
0.0005,0.7,3.7197251890883174,5.579123951605257,3.9755501168790435,5.726167101636035,121,2451,17.310579441688464
0.0005,0.9,3.7168222896444303,5.574171101851933,3.9978919712122467,5.751407767319925,118,5984,18.028017769301613
0.0005,0.95,3.716310751999523,5.573368448080708,4.003263293002544,5.758432251110552,114,10000,18.39879781475001
0.0005,0.99,3.7161796285278528,5.572883826336092,4.007838336369043,5.764374253304682,114,10000,16.468059579577815
0.001,0.1,3.783938512288123,5.669610776375128,3.9205782871757435,5.672621654230346,120,617,15.140093143411706
0.001,0.5,3.7480625915090315,5.618732707607011,3.9272134393117337,5.676867841103153,120,854,16.056784343573966
0.001,0.7,3.732065141133925,5.596732692507027,3.9444233996703173,5.692918061873297,119,1275,16.651317534261658
0.001,0.9,3.720570280846817,5.580009039607643,3.977120038632443,5.724750713143456,118,3197,17.685756181392073
0.001,0.95,3.7180716263626503,5.577051243952077,3.986011657968505,5.7354943837906545,115,5530,18.015931296599458
0.001,0.99,3.7171535968733096,5.575195962837641,3.9939586610722033,5.744888050272307,113,10000,17.2527123830761
0.005,0.1,4.111572700410005,6.127213060916991,4.098903507633888,5.92243861489732,119,136,9.83138833473878
0.005,0.5,3.993696450627657,5.970219957704208,4.016842035350288,5.813323041117673,114,193,11.29133093028818
0.005,0.7,3.9129695821950015,5.8565443653393645,3.9691331755542842,5.742346501036603,114,291,12.436926304149786
0.005,0.9,3.8167131230944356,5.711375365591662,3.927033279013539,5.667758879493715,106,754,14.481536776777755
0.005,0.95,3.790385071158477,5.6718169114914465,3.9207398055013614,5.654023563764107,105,1354,15.29159844132808
0.005,0.99,3.7690619366890945,5.64091931205096,3.9223730956353737,5.649990283368633,106,4857,16.056813550299868
0.01,0.1,4.306885666537684,6.395661726070523,4.231612659269267,6.116111399720417,118,72,7.514653132101858
0.01,0.5,4.221881985820159,6.273462121549591,4.167633976292843,6.0236943627181265,107,100,8.45347664144044
0.01,0.7,4.144618894422618,6.1611984917198725,4.113044103820187,5.940085789309846,103,151,9.360282421852066
0.01,0.9,4.001871180739579,5.958748468199699,4.02106763254596,5.792816844614545,95,382,11.287633144615084
0.01,0.95,3.9487852172701485,5.881092061992207,3.9914447433318756,5.7393468837236545,95,684,12.14952120538407
0.01,0.99,3.902805296543055,5.80895440836796,3.963678991685064,5.690020298664644,94,2480,13.09495254334079
0.05,0.1,4.60082720659161,6.803423964521586,4.4472632648848665,6.414520021306007,105,19,4.228544912499778
0.05,0.5,4.642092203955278,6.85416686058633,4.478795040839266,6.453653430439657,44,20,3.635035849354973
0.05,0.7,4.6490107336498205,6.865729077150628,4.485172915629832,6.464147600561566,29,30,3.497678464395262
0.05,0.9,4.648231558298598,6.864578985713165,4.48553241313569,6.463952120802442,20,37,3.4425534303777647
0.05,0.95,4.643958455820359,6.8578657973902235,4.482630146836715,6.45819860856021,20,39,3.4406978580147185
0.05,0.99,4.638441779186099,6.849468882442709,4.478396933119322,6.451247421040113,18,19,3.450001151769543
0.1,0.1,4.655631939566401,6.88252498481977,4.485555460980568,6.468794186309604,87,18,3.555390315507532
0.1,0.5,4.690520338489344,6.932055319500444,4.508515691060049,6.502339926292715,19,25,3.161218668914017
0.1,0.7,4.699838825791347,6.947219186732168,4.516126867389705,6.512442272220783,13,10,3.0202297243176415
0.1,0.9,4.705109172279202,6.956243111129395,4.5179752328571485,6.518662481930053,10,8,2.8981050653690876
0.1,0.95,4.7055880916185755,6.957176021202254,4.517505353059981,6.5185777657204795,10,8,2.8700483100737815
0.1,0.99,4.706056711221079,6.9579688731761795,4.517119337194272,6.518543005636,10,8,2.8469239873503613
0.5,0.1,4.699461351790171,6.9639078125526215,4.518052855954986,6.517650852475176,21,11,2.727141485798598
0.5,0.5,4.7153692239067135,6.995249695175547,4.536031993383996,6.5365595292291685,5,6,2.4104547234160525
0.5,0.7,4.719317352105603,7.0060593700521965,4.547974689337857,6.542778879612037,3,4,2.393373841229231
0.5,0.9,4.723377261303066,7.015727028121874,4.561071978034257,6.551637538982919,2,4,2.374035688298831
0.5,0.95,4.724534005763846,7.017074503631939,4.562780284566915,6.552510349433476,1,2,2.368323822049214
0.5,0.99,4.724309323832917,7.017082348663515,4.562420486891792,6.552300422527586,1,2,2.366912972242991
1.0,0.1,4.707153671930837,6.984076628083001,4.526666531926061,6.5271186078499595,10,6,2.511636458558756
1.0,0.5,4.722840283396559,7.017139966785558,4.560068017641247,6.550934585597716,1,2,2.357688396833639
1.0,0.7,4.720595748729653,7.017249188717529,4.556473699435295,6.548870294531018,1,2,2.3435942447726377
1.0,0.9,4.7183448756252995,7.017384438833459,4.55286923108043,6.546827583488237,1,2,2.329460291632814
1.0,0.95,4.717781163820873,7.017422343798748,4.552005041420664,6.546320304959722,1,2,2.325920564665213
1.0,0.99,4.717339270242737,7.017453851152086,4.551321981757418,6.545915466218591,1,2,2.3230869826696177
5.0,0.1,4.712082480208045,7.017915547843126,4.543081121229696,6.541118357989786,1,2,2.288900870861159
5.0,0.5,4.69207756353499,7.0213687726680325,4.510246533326773,6.523188356264855,1,2,2.1491568592220824
5.0,0.7,4.682713573169286,7.0241008504643,4.493988812425638,6.515080707663967,1,2,2.077819477788812
5.0,0.9,4.673584234477092,7.0275394637132775,4.477502183580406,6.507584130955808,1,2,2.005477669386945
5.0,0.95,4.671477552019782,7.02851281208819,4.4734734802094165,6.505809085835558,1,2,1.9872327852412401
5.0,0.99,4.669845660124129,7.029324859850515,4.470284791837466,6.504418278130886,1,2,1.9725904912927108
10.0,0.1,4.695438715916709,7.020560578650313,4.515986577608718,6.526220026439948,1,2,2.174343644680817
10.0,0.5,4.661364962587701,7.0339875257639415,4.453713656401067,6.497675002426972,1,2,1.8964966847435698
10.0,0.7,4.645864705987995,7.044896656647568,4.423700137526042,6.487101569439533,1,2,1.7518065887253655
10.0,0.9,4.6332468889539795,7.058892353347432,4.393834635256279,6.479316374945894,1,2,1.603056324983732
10.0,0.95,4.630309715052611,7.062900730285627,4.386236851918694,6.477836296571437,1,2,1.565214260078577
10.0,0.99,4.628132092752757,7.0662593921716566,4.380449122099332,6.476792427716101,1,2,1.5347482532683463
50.0,0.1,4.6229957034792335,7.075379255783031,4.366465387425288,6.474723059537416,1,2,1.4568531420208553
50.0,0.5,4.648811898506868,7.339559543178646,4.288858049673944,6.568311384512891,1,2,0.1482860953137124
50.0,0.7,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
50.0,0.9,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
50.0,0.95,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
50.0,0.99,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.1,4.6140700691619445,7.167650465758888,4.301436936782754,6.486632190048192,1,2,0.8737330079943996
100.0,0.5,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.7,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.9,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.95,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
100.0,0.99,4.713275019295087,7.428910145027099,4.339824732229795,6.623650324006432,0,1,-0.15384615384615385
