feature,coefficient,abs_coefficient
pid_5343,25.66236842285036,25.66236842285036
pid_7212,23.078566731831387,23.078566731831387
pid_8028,18.84426251622535,18.84426251622535
pid_2298,18.20244716131167,18.20244716131167
pid_8513,16.025098857004327,16.025098857004327
pid_4406,15.8335041999177,15.8335041999177
pid_4674,12.78693291998543,12.78693291998543
pid_6661,12.242369707552879,12.242369707552879
pid_4140,10.543585877060117,10.543585877060117
pid_6662,9.807397182669314,9.807397182669314
pid_9404,9.695559562863142,9.695559562863142
pid_2456,8.72764201614188,8.72764201614188
pid_7659,8.434429598018086,8.434429598018086
pid_2410,8.389164082394837,8.389164082394837
pid_1017,8.355086054632599,8.355086054632599
pid_7818,-7.423653143240267,7.423653143240267
pid_3794,7.413845769019275,7.413845769019275
pid_1261,-6.970296654436071,6.970296654436071
pid_1257,-6.496614375563137,6.496614375563137
pid_3860,-6.306847846857585,6.306847846857585
pid_9389,6.270850313157518,6.270850313157518
pid_2693,6.269264904930809,6.269264904930809
pid_8800,6.266875779620466,6.266875779620466
pid_7999,-6.140788748398774,6.140788748398774
pid_7179,-6.088734252596304,6.088734252596304
pid_1389,-5.904790883889558,5.904790883889558
pid_1515,5.682431681347652,5.682431681347652
pid_2403,5.650960282032192,5.650960282032192
pid_2720,-5.645972780523183,5.645972780523183
pid_6230,-5.579546714462904,5.579546714462904
pid_4770,5.287849999812951,5.287849999812951
pid_8235,-5.273984809194288,5.273984809194288
pid_7264,5.216080554127286,5.216080554127286
gender_mode_1,-5.17020869856521,5.17020869856521
pid_5178,-5.04929895028662,5.04929895028662
pid_5967,4.917447421689083,4.917447421689083
pid_4170,4.89778302373795,4.89778302373795
pid_4694,-4.881492162791204,4.881492162791204
pid_9470,-4.880180474979041,4.880180474979041
pid_1487,-4.743398803534511,4.743398803534511
pid_9335,4.648295788127262,4.648295788127262
pid_2204,4.46000859610344,4.46000859610344
pid_5560,4.241833410260764,4.241833410260764
pid_5543,-4.097510546419016,4.097510546419016
pid_1111,-4.06402535730835,4.06402535730835
pid_1693,4.045525303144835,4.045525303144835
pid_8157,3.933285212034055,3.933285212034055
gender_mode_2,-3.9150731253020097,3.9150731253020097
pid_7091,-3.896982487261695,3.896982487261695
pid_5125520792,3.6273720587532647,3.6273720587532647
pid_4703,-3.5374591192434126,3.5374591192434126
pid_3120,-3.5194109202909547,3.5194109202909547
pid_1030,-3.4813308053362,3.4813308053362
pid_6713,-3.3018307871177655,3.3018307871177655
pid_9277,3.172475613261236,3.172475613261236
pid_6818,-3.0294618927955304,3.0294618927955304
pid_8884,-2.9939726283663988,2.9939726283663988
mean_daily_overnight_ratio_delta,2.9782438792246113,2.9782438792246113
pid_8969,-2.8317890782950372,2.8317890782950372
pid_4460,-2.794700680872887,2.794700680872887
pid_1301,-2.6116832861983648,2.6116832861983648
pid_7724,-2.4205180370872657,2.4205180370872657
pid_3071,-2.4165559765506472,2.4165559765506472
pid_9373,-2.382258037776847,2.382258037776847
pid_7529,2.269765089481296,2.269765089481296
pid_7383,2.251059505378047,2.251059505378047
pid_5207,-2.215229316489447,2.215229316489447
pid_1292,-1.9806782099703837,1.9806782099703837
pid_3309,-1.8578575563622517,1.8578575563622517
pid_4365,-1.857442336796465,1.857442336796465
pid_1234,1.7964653543553544,1.7964653543553544
pid_2044,-1.7586297197596497,1.7586297197596497
age,-1.7348930943737884,1.7348930943737884
pid_2122,1.7096784037319799,1.7096784037319799
pid_6328,-1.6591780927257274,1.6591780927257274
pid_4035,-1.5376452356398307,1.5376452356398307
pid_6836,1.5169360524759545,1.5169360524759545
pid_9022,-1.469856266689447,1.469856266689447
active_day_ratio_delta,1.4597123235120175,1.4597123235120175
mean_daily_unique_apps,-1.2399129215239542,1.2399129215239542
pid_8243,1.2274500622319267,1.2274500622319267
pid_3173,-1.174715678930813,1.174715678930813
mean_daily_switches,1.1735175789010666,1.1735175789010666
pid_3022,-1.1164364064647907,1.1164364064647907
pid_7335,1.0447645107547607,1.0447645107547607
mean_daily_screens,0.9864081829230353,0.9864081829230353
pid_2938,-0.855907063917011,0.855907063917011
pid_7528,0.7839884448926783,0.7839884448926783
pid_4177,-0.7106609574599881,0.7106609574599881
prior_cesd,-0.685124824968141,0.685124824968141
pid_2177,-0.6174254023170782,0.6174254023170782
mean_daily_screens_delta,-0.5699191298551782,0.5699191298551782
pid_1551,0.5338342019063199,0.5338342019063199
mean_daily_social_screens,0.5004074174056173,0.5004074174056173
mean_daily_overnight_ratio,0.35184955822748926,0.35184955822748926
mean_daily_switches_delta,0.3054312332972775,0.3054312332972775
clip_dispersion_delta,0.2531506898648753,0.2531506898648753
switches_per_screen,0.22933386594674404,0.22933386594674404
switches_per_screen_delta,-0.16948174014322134,0.16948174014322134
mean_daily_unique_apps_delta,0.14312596828610477,0.14312596828610477
mean_daily_social_screens_delta,-0.07465135106175985,0.07465135106175985
pid_9459,-0.0,0.0
pid_6515,0.0,0.0
clip_dispersion,-0.0,0.0
pid_8067,0.0,0.0
pid_8107,-0.0,0.0
pid_9713,-0.0,0.0
pid_2591,-0.0,0.0
pid_8474,0.0,0.0
pid_5020,0.0,0.0
mean_daily_social_ratio_delta,-0.0,0.0
mean_daily_social_ratio,0.0,0.0
pid_9168,-0.0,0.0
pid_1490,-0.0,0.0
pid_9396,0.0,0.0
pid_5797,-0.0,0.0
pid_6666,0.0,0.0
