feature,coefficient,abs_coefficient
pid_5343,24.881949410315418,24.881949410315418
pid_7212,24.468295215402954,24.468295215402954
pid_8028,19.533732260872657,19.533732260872657
pid_2298,19.447304501810322,19.447304501810322
pid_4406,15.810329371119723,15.810329371119723
pid_8513,15.59965280626833,15.59965280626833
pid_4674,12.051107890646984,12.051107890646984
pid_6661,11.777690495992335,11.777690495992335
pid_1017,10.336339537118834,10.336339537118834
pid_9404,10.305832237982164,10.305832237982164
pid_6662,9.980264934029414,9.980264934029414
pid_4140,9.410072873442225,9.410072873442225
pid_7659,8.772454786118773,8.772454786118773
pid_3794,8.496040552798615,8.496040552798615
pid_1515,8.234221955859699,8.234221955859699
pid_2456,8.219624860666901,8.219624860666901
pid_2410,7.582831573886936,7.582831573886936
pid_9389,7.026064583075199,7.026064583075199
pid_4770,6.950377606847033,6.950377606847033
pid_2693,6.460241849678015,6.460241849678015
pid_1257,-6.112069685697869,6.112069685697869
pid_3860,-5.927406853235377,5.927406853235377
gender_mode_1,-5.884874421265758,5.884874421265758
pid_7179,-5.595197086826983,5.595197086826983
pid_8235,-5.500261121878346,5.500261121878346
pid_4170,5.44335831991079,5.44335831991079
pid_2403,5.4322321050557525,5.4322321050557525
pid_8800,5.408134097942323,5.408134097942323
pid_6230,-5.370779920613061,5.370779920613061
pid_7818,-5.349373512161053,5.349373512161053
gender_mode_2,-5.144969449458177,5.144969449458177
pid_7264,5.065245814837035,5.065245814837035
pid_2720,-4.6793108498979965,4.6793108498979965
pid_2204,4.571527579394459,4.571527579394459
pid_1693,4.326858892725137,4.326858892725137
pid_1487,-4.309251079963928,4.309251079963928
pid_1261,-4.250027913744538,4.250027913744538
pid_8157,4.229498426554162,4.229498426554162
pid_5543,-4.0759090877198,4.0759090877198
pid_9335,3.914959569732488,3.914959569732488
pid_7999,-3.906478645711241,3.906478645711241
pid_5560,3.874253383505194,3.874253383505194
pid_1389,-3.7147590902407903,3.7147590902407903
pid_5125520792,3.690104451289166,3.690104451289166
pid_9470,-3.681160159531266,3.681160159531266
pid_5178,-3.6353309175914115,3.6353309175914115
pid_7091,-3.5901193499656534,3.5901193499656534
pid_1111,-3.5146277910301396,3.5146277910301396
pid_4694,-3.4736306220835202,3.4736306220835202
pid_5967,3.473025498471581,3.473025498471581
pid_1030,-3.2945218268086136,3.2945218268086136
pid_7529,2.931275160864558,2.931275160864558
pid_8884,-2.852425760617137,2.852425760617137
pid_8243,2.8261321994950155,2.8261321994950155
pid_9373,-2.6777581573560947,2.6777581573560947
pid_9277,2.610100139085962,2.610100139085962
pid_1301,-2.601344972651076,2.601344972651076
pid_6713,-2.580828910735285,2.580828910735285
pid_5207,-2.5139437648275336,2.5139437648275336
pid_7724,-2.382959838005833,2.382959838005833
pid_3309,-2.2780455259849988,2.2780455259849988
pid_1234,2.2340245564524706,2.2340245564524706
pid_7383,2.0846299836089313,2.0846299836089313
pid_4460,-2.0505993722913867,2.0505993722913867
pid_8969,-1.976680211182757,1.976680211182757
pid_2122,1.9346211324495841,1.9346211324495841
mean_daily_overnight_ratio_delta,1.9167315906279416,1.9167315906279416
age,-1.851205074951388,1.851205074951388
pid_1292,-1.8310446919562309,1.8310446919562309
pid_9022,-1.7739483501139963,1.7739483501139963
pid_6836,1.762485094291877,1.762485094291877
pid_4365,-1.7589123338767998,1.7589123338767998
pid_7335,1.6292185363902791,1.6292185363902791
pid_3173,-1.5917297037578866,1.5917297037578866
pid_6328,-1.4845916195246331,1.4845916195246331
pid_4035,-1.411490309615018,1.411490309615018
pid_3120,-1.392812862416016,1.392812862416016
pid_6818,-1.3381129171351964,1.3381129171351964
pid_3071,-1.1628037232808077,1.1628037232808077
mean_daily_unique_apps,-1.030420759947091,1.030420759947091
mean_daily_switches,1.0014764551926976,1.0014764551926976
pid_4703,-0.8667146580966593,0.8667146580966593
pid_2177,-0.6851952407696262,0.6851952407696262
prior_cesd,-0.6528317259590017,0.6528317259590017
pid_1551,0.6195318713792543,0.6195318713792543
pid_7528,0.612662277973628,0.612662277973628
pid_2938,-0.602879726197209,0.602879726197209
pid_5797,0.5755813810740867,0.5755813810740867
mean_daily_screens,0.5188583670203438,0.5188583670203438
pid_8474,-0.43192746899867784,0.43192746899867784
mean_daily_overnight_ratio,-0.40329726713941266,0.40329726713941266
pid_2044,-0.36753509766219444,0.36753509766219444
clip_dispersion_delta,0.35799399329673887,0.35799399329673887
pid_2591,-0.3475098820850407,0.3475098820850407
mean_daily_switches_delta,0.32661006349380706,0.32661006349380706
mean_daily_screens_delta,-0.2861812839518281,0.2861812839518281
switches_per_screen,0.20459547415297274,0.20459547415297274
switches_per_screen_delta,-0.16762096790819891,0.16762096790819891
mean_daily_social_screens,0.10891133016449028,0.10891133016449028
clip_dispersion,-0.0834187099058164,0.0834187099058164
pid_5020,-0.04285173012831199,0.04285173012831199
mean_daily_social_screens_delta,-0.03523181638705785,0.03523181638705785
mean_daily_unique_apps_delta,0.02017098364766488,0.02017098364766488
pid_4177,-0.0,0.0
mean_daily_social_ratio_delta,-0.0,0.0
mean_daily_social_ratio,-0.0,0.0
active_day_ratio_delta,0.0,0.0
pid_9713,0.0,0.0
pid_9459,-0.0,0.0
pid_9396,0.0,0.0
pid_3022,-0.0,0.0
pid_9168,-0.0,0.0
pid_8107,-0.0,0.0
pid_6515,0.0,0.0
pid_1490,-0.0,0.0
pid_6666,0.0,0.0
pid_8067,-0.0,0.0
