alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,3.717959409533947,5.574119159503383,4.000816637643635,5.751596544525714,117,5859,13.316188681295344
0.0001,0.5,3.716977178986292,5.572866194682317,4.0099285846603,5.764553014263866,117,7933,13.313693435867362
0.0001,0.7,3.716643577483036,5.5724578127073645,4.014891766611794,5.7717730954992215,117,10000,13.221706374990474
0.0001,0.9,3.71637484389164,5.572208563185553,4.019912523830669,5.779182595467988,114,10000,12.142296283266452
0.0001,0.95,3.716341330575094,5.572171895063915,4.021002093622032,5.780618637474382,116,10000,10.906828351584705
0.0001,0.99,3.716294484199724,5.572149299847509,4.021689609384036,5.78158482627337,115,10000,9.021094214611809
0.0005,0.1,3.744344462499965,5.6089800376587995,3.9504702943380554,5.687304181504483,117,1196,12.354376822665353
0.0005,0.5,3.7286525440594724,5.587794302820272,3.968743465605346,5.711461107097221,117,1646,12.678518441542376
0.0005,0.7,3.7225846175564183,5.579811809666142,3.9843467355731375,5.731070975802419,117,2430,12.77107625977181
0.0005,0.9,3.718069900370634,5.574352952193935,4.002420256201831,5.755841300872503,113,6029,12.642589853747834
0.0005,0.95,3.7174210870798743,5.5734867981904195,4.006793817973,5.761449961152679,115,10000,12.425642227429528
0.0005,0.99,3.7169223745795885,5.572952201105172,4.009896817986316,5.76564203962443,113,10000,10.62478323877016
0.001,0.1,3.794497786087392,5.679733673645509,3.9418210048882933,5.681062541564574,117,610,11.28492219714776
0.001,0.5,3.754493796621375,5.623527563421679,3.9480778293099723,5.684310020437078,117,851,11.924598409574417
0.001,0.7,3.737253066993915,5.5991347935329285,3.9577410815365117,5.699489045045867,115,1274,12.253487183426337
0.001,0.9,3.723419574772398,5.580616108644192,3.982908419982621,5.730904321619421,113,3213,12.376057996649237
0.001,0.95,3.7208568899255354,5.577434084814919,3.990192893125211,5.7392724794779415,114,5537,12.258313194357479
0.001,0.99,3.7188248057721864,5.575379009864035,3.9963373181533797,5.7459914940933725,112,10000,11.530846489502267
0.005,0.1,4.132222064748042,6.162442298438204,4.127904131127334,5.964849210657735,117,135,7.131075846359251
0.005,0.5,4.015150693340933,6.001107249411681,4.045765098693531,5.847540599595982,115,190,8.1917512839296
0.005,0.7,3.9326576067405514,5.880771283590114,3.9890409616820346,5.769211990386266,113,290,9.046572211310064
0.005,0.9,3.831970199271306,5.7223246488265405,3.945534232696595,5.687634108711927,108,754,10.29975930318334
0.005,0.95,3.802496065382532,5.67830464859511,3.9367786402343223,5.669137322679792,105,1372,10.695415634130859
0.005,0.99,3.7776659595317215,5.644350925042873,3.9267602194779205,5.653781457326683,101,5006,11.068224345939479
0.01,0.1,4.328052767459323,6.431824570483524,4.272406813964776,6.166003095461751,117,72,5.402529946594108
0.01,0.5,4.244360094466105,6.313641318191259,4.208039000843707,6.073432609806766,111,99,6.017936814898489
0.01,0.7,4.168814728589517,6.2013031595996395,4.1419420237427165,5.986099237628095,103,148,6.590914924510795
0.01,0.9,4.026320356424661,5.989880587077416,4.03766551576068,5.82868892207546,95,380,7.815691206743799
0.01,0.95,3.97132490411405,5.905268326321475,4.004136122116661,5.7649546151830195,97,689,8.372550682154454
