alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.0001,0.1,4.731301930489873,7.01695849846475,4.5736005296668525,6.558948957855496,1,2,2.410739543761265
0.0001,0.5,4.731301435651025,7.01695849846617,4.573599801151175,6.558948523175045,1,2,2.41073673394939
0.0001,0.7,4.7313011882314955,7.016958498467262,4.573599436893182,6.558948305835132,1,2,2.410735329042857
0.0001,0.9,4.731300940811897,7.016958498468608,4.573599072635085,6.558948088495428,1,2,2.410733924135927
0.0001,0.95,4.731300878956986,7.016958498468985,4.573598981570546,6.558948034160534,1,2,2.410733572909133
0.0001,0.99,4.731300829473055,7.016958498469298,4.5735989087189095,6.558947990692628,1,2,2.410733291927679
0.0005,0.1,4.731300159316526,7.016958498474532,4.573597922095607,6.558947402011676,1,2,2.410729486620598
0.0005,0.5,4.7312976851232795,7.016958498510031,4.57359427951868,6.5589452286404155,1,2,2.4107154375668642
0.0005,0.7,4.731296448024033,7.016958498537325,4.573592458226356,6.558944141962605,1,2,2.410708413025109
0.0005,0.9,4.731295210923041,7.016958498570982,4.573590636931459,6.558943055290007,1,2,2.410701388473428
0.0005,0.95,4.7312949016475185,7.016958498580389,4.573590181607332,6.558942783622673,1,2,2.4106996323339573
0.0005,0.99,4.731294654227024,7.0169584985882025,4.573589817347916,6.55894256628904,1,2,2.410698227421934
0.001,0.1,4.731297945362512,7.016958498505099,4.573594662650203,6.558945457237486,1,2,2.410716915266705
0.001,0.5,4.731292996978501,7.016958498647097,4.5735873775000035,6.55894111057245,1,2,2.410688817173338
0.001,0.7,4.73129052277601,7.016958498756272,4.573583734909463,6.55893893727121,1,2,2.4106747680671017
0.001,0.9,4.731288048566524,7.016958498890897,4.57358009230863,6.558936763990826,1,2,2.4106607189211635
0.001,0.95,4.731287430013061,7.016958498928531,4.573579181656813,6.5589362206739885,1,2,2.4106572066284757
0.001,0.99,4.731286935169974,7.016958498959783,4.573578453134896,6.558935786021456,1,2,2.4106543967925385
0.005,0.1,4.73128023423716,7.016958499483217,4.573568587833027,6.558929900267185,1,2,2.4106163473130593
0.005,0.5,4.731255492416449,7.016958503033057,4.573532162228285,6.558908170041414,1,2,2.4104758574103062
0.005,0.7,4.731243121243901,7.0169585057624335,4.573513949039906,6.558897305710581,1,2,2.410405610970136
0.005,0.9,4.731230749896552,7.016958509128151,4.573495735594183,6.558886441901156,1,2,2.41033536353741
0.005,0.95,4.7312276570324014,7.016958510069013,4.57349118219254,6.558883726030272,1,2,2.410317801524138
0.005,0.99,4.7312251827332155,7.016958510850338,4.573487539459646,6.55888155335703,1,2,2.4103037518688555
0.01,0.1,4.731258096597294,7.0169585025395795,4.573535996176613,6.558910457112093,1,2,2.4104906445643266
0.01,0.5,4.7312086132042515,7.016958516738551,4.573463145332802,6.558867004408829,1,2,2.410209666169185
