feature,coefficient,abs_coefficient
pid_5343,18.163669434433565,18.163669434433565
pid_8028,16.4653612625892,16.4653612625892
pid_7212,16.09513207656804,16.09513207656804
pid_2298,15.879000723938596,15.879000723938596
pid_4406,11.534682073680406,11.534682073680406
pid_6661,10.422727800888683,10.422727800888683
pid_8513,10.340391189780298,10.340391189780298
pid_1257,-10.263923843542496,10.263923843542496
pid_1261,-10.086654886394085,10.086654886394085
pid_1111,-9.01470145164274,9.01470145164274
pid_4140,8.476398781376764,8.476398781376764
pid_4674,7.934642048689493,7.934642048689493
pid_4694,-7.835966055918284,7.835966055918284
pid_8235,-7.799295530023132,7.799295530023132
pid_1017,7.729793099087016,7.729793099087016
pid_8969,-7.663165325150081,7.663165325150081
pid_7179,-7.5769725109716415,7.5769725109716415
pid_5543,-7.419770026672686,7.419770026672686
pid_2410,7.398297879452426,7.398297879452426
pid_4460,-6.966678068402342,6.966678068402342
pid_3120,-6.948299859109021,6.948299859109021
pid_7818,-6.896955213372253,6.896955213372253
pid_3860,-6.492236888018808,6.492236888018808
pid_6662,6.046107129182243,6.046107129182243
pid_3794,5.862404245565707,5.862404245565707
pid_1515,5.847104828963861,5.847104828963861
pid_2720,-5.818599405359487,5.818599405359487
pid_2693,5.764736037637147,5.764736037637147
pid_9470,-5.73738133424733,5.73738133424733
pid_2204,5.653950510974442,5.653950510974442
pid_1389,-5.444175399757829,5.444175399757829
pid_5178,-5.419147398090197,5.419147398090197
pid_7264,5.412232802169216,5.412232802169216
pid_4770,5.406845227330851,5.406845227330851
pid_9389,5.3923172428478345,5.3923172428478345
pid_6230,-5.392032939109926,5.392032939109926
pid_7999,-5.352338355145719,5.352338355145719
pid_8800,5.197053753805376,5.197053753805376
pid_1487,-5.158631681778545,5.158631681778545
pid_7724,-4.929365600843439,4.929365600843439
pid_6818,-4.57245824810321,4.57245824810321
gender_mode_1,-4.511345190591552,4.511345190591552
pid_7091,-4.441092727572285,4.441092727572285
pid_8474,-4.091967369046377,4.091967369046377
pid_9335,3.97697122068353,3.97697122068353
pid_1030,-3.924198051553198,3.924198051553198
pid_3071,-3.831969369121395,3.831969369121395
pid_9404,3.630328114448692,3.630328114448692
pid_6713,-3.362912666550561,3.362912666550561
pid_1301,-3.3398100727702307,3.3398100727702307
pid_7659,3.2943762096353275,3.2943762096353275
pid_4703,-3.120746356443868,3.120746356443868
gender_mode_2,-3.0653892836831407,3.0653892836831407
active_day_ratio_delta,3.047758219705288,3.047758219705288
pid_6328,-3.024803662808324,3.024803662808324
pid_4365,-2.975144393482618,2.975144393482618
pheno_1,-2.962206919738512,2.962206919738512
pid_3022,-2.953033374563041,2.953033374563041
mean_daily_overnight_ratio_delta,2.918759614754222,2.918759614754222
pid_2456,2.7671491054435453,2.7671491054435453
pid_3309,-2.729309684819247,2.729309684819247
pid_9277,2.6164336666850083,2.6164336666850083
pid_9373,-2.5801627513840795,2.5801627513840795
pid_5967,2.537570180884585,2.537570180884585
pid_4035,-2.452930342570459,2.452930342570459
pid_5125520792,2.285584208790553,2.285584208790553
pid_2938,-2.2429512852444704,2.2429512852444704
pid_8884,-2.229367468911941,2.229367468911941
pid_5207,-2.1739925662926907,2.1739925662926907
pid_1693,2.1718596018216254,2.1718596018216254
pid_2044,-1.8674478773053176,1.8674478773053176
pid_2403,1.8595342240441328,1.8595342240441328
pid_1292,-1.8453697410862704,1.8453697410862704
pid_4170,1.8192254016961065,1.8192254016961065
pid_9022,-1.7689501514262729,1.7689501514262729
pid_7528,1.7675268166413467,1.7675268166413467
mean_daily_social_ratio_delta,-1.7332077994924109,1.7332077994924109
pid_7383,1.7327455233975588,1.7327455233975588
pid_2591,-1.7119883488305592,1.7119883488305592
pheno_2,-1.6851986659628924,1.6851986659628924
pid_4177,-1.6329988792529049,1.6329988792529049
pid_9168,-1.4681748867963564,1.4681748867963564
pid_2122,-1.4557036738736553,1.4557036738736553
pid_9713,-1.4458709401063528,1.4458709401063528
pid_2177,-1.4116285221728018,1.4116285221728018
pid_1551,1.3868922455511743,1.3868922455511743
age,-1.3402852888567034,1.3402852888567034
mean_daily_unique_apps,-1.2718521822942248,1.2718521822942248
mean_daily_switches,1.2427345819763778,1.2427345819763778
pid_8243,-1.1869604298128815,1.1869604298128815
pid_5020,-1.1627182580573403,1.1627182580573403
pid_1490,-1.150267981029886,1.150267981029886
pid_9459,-1.1382841916202469,1.1382841916202469
