model,split,label_type,BalAcc,AUC_OvR,Sens_W,PPV_W,F1_macro
1_pooled,train,sev_crossing,0.6610644257703081,0.918531849648938,0.9831932773109243,0.17673716012084592,0.2230271753118759
1_pooled,val,sev_crossing,0.46719576719576716,0.5848373492903268,0.45714285714285713,0.06611570247933884,0.1584372751641103
1_pooled,test,sev_crossing,0.45761670761670764,0.5819152062564171,0.4864864864864865,0.07003891050583658,0.17212945784374356
2_intercept,train,sev_crossing,0.5639049008032965,0.7713333814397773,0.8487394957983193,0.15029761904761904,0.19055067180195806
2_intercept,val,sev_crossing,0.5341269841269841,0.7222891373482478,0.6857142857142857,0.10572687224669604,0.16891183954497832
2_intercept,test,sev_crossing,0.5145372645372646,0.7036431176568189,0.7027027027027027,0.11353711790393013,0.17430745004103176
3_prior_slope,train,sev_crossing,0.5639049008032965,0.7689968289174675,0.8487394957983193,0.14896755162241887,0.1908997551459601
3_prior_slope,val,sev_crossing,0.5248677248677248,0.7208461917578813,0.6857142857142857,0.10434782608695652,0.16651334522356767
3_prior_slope,test,sev_crossing,0.5055282555282555,0.7004743062167091,0.6756756756756757,0.10964912280701754,0.17155681157011057
4_prior_switches,train,sev_crossing,0.5693682431650346,0.7791270470568646,0.8403361344537815,0.15015015015015015,0.19245257174166153
4_prior_switches,val,sev_crossing,0.5251322751322752,0.7162512976918102,0.7142857142857143,0.10869565217391304,0.16571231890860164
4_prior_switches,test,sev_crossing,0.5131040131040131,0.7036121662652506,0.6756756756756757,0.10775862068965517,0.17556026027861593
5_prior_social,train,sev_crossing,0.5694145426765748,0.7745650808986735,0.8487394957983193,0.15029761904761904,0.19261785526449038
5_prior_social,val,sev_crossing,0.5341269841269841,0.7257895399034276,0.6857142857142857,0.10714285714285714,0.16805625501277674
5_prior_social,test,sev_crossing,0.5055282555282555,0.7033393480837278,0.6756756756756757,0.1111111111111111,0.17085960836375705
6_prior_soc_ext,train,sev_crossing,0.5666597217399357,0.772014270282797,0.8487394957983193,0.14940828402366865,0.19182030174288733
6_prior_soc_ext,val,sev_crossing,0.5248677248677248,0.7250093795576052,0.6857142857142857,0.10714285714285714,0.16483564309651266
6_prior_soc_ext,test,sev_crossing,0.5055282555282555,0.7007053233230565,0.6756756756756757,0.11061946902654868,0.171086057748186
7_sw_screens,train,sev_crossing,0.5667060212514757,0.7803817504096555,0.8571428571428571,0.15292353823088456,0.1911293795263261
7_sw_screens,val,sev_crossing,0.5246031746031746,0.7103837520693702,0.6571428571428571,0.10043668122270742,0.166991699169917
7_sw_screens,test,sev_crossing,0.48751023751023753,0.6939210473890771,0.6216216216216216,0.10043668122270742,0.1667886530485506
8_prior_sw_scr,train,sev_crossing,0.5776790054864921,0.7840122176839138,0.8487394957983193,0.15165165165165165,0.195349959722263
8_prior_sw_scr,val,sev_crossing,0.5343915343915344,0.7210501490896847,0.7142857142857143,0.10869565217391304,0.16902906849400798
8_prior_sw_scr,test,sev_crossing,0.5055282555282555,0.7021985943113794,0.6756756756756757,0.10869565217391304,0.17205160216396173
9_dev_features,train,sev_crossing,0.5583489594184782,0.7691766987423603,0.8403361344537815,0.14836795252225518,0.18878640671976213
9_dev_features,val,sev_crossing,0.5153439153439153,0.7250018613001991,0.6571428571428571,0.1031390134529148,0.16199562711190618
9_dev_features,test,sev_crossing,0.4979524979524979,0.6937894083373832,0.6756756756756757,0.10964912280701754,0.16861995400770233
base,train,sev_crossing,0.5639049008032965,0.7713333814397773,0.8487394957983193,0.15029761904761904,0.19055067180195806
base,val,sev_crossing,0.5341269841269841,0.7222891373482478,0.6857142857142857,0.10572687224669604,0.16891183954497832
base,test,sev_crossing,0.5145372645372646,0.7036431176568189,0.7027027027027027,0.11353711790393013,0.17430745004103176
base_dev,train,sev_crossing,0.5611963793781976,0.7697388743362706,0.8571428571428571,0.15201192250372578,0.18927512377369338
base_dev,val,sev_crossing,0.5248677248677248,0.7163492682772241,0.6857142857142857,0.10619469026548672,0.16536772264274366
base_dev,test,sev_crossing,0.4979524979524979,0.6941487863356278,0.6756756756756757,0.10964912280701754,0.16861995400770233
base_dev_pmcesd,train,sev_crossing,0.5501770956316411,0.7665738337720963,0.8571428571428571,0.16012558869701726,0.1840647370059135
base_dev_pmcesd,val,sev_crossing,0.5907407407407407,0.7815182821772156,0.8,0.14,0.1804427251235762
base_dev_pmcesd,test,sev_crossing,0.5415642915642915,0.7562996170814079,0.7837837837837838,0.145,0.178307272275999
prior_cesd,train,sev_crossing,0.5777716045095724,0.7755656088810619,0.865546218487395,0.14970930232558138,0.19637656462497924
prior_cesd,val,sev_crossing,0.4965608465608466,0.7142085279308853,0.6285714285714286,0.09322033898305085,0.16010344718831804
prior_cesd,test,sev_crossing,0.515970515970516,0.703737729393105,0.7297297297297297,0.108,0.17979094076655053
